    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -7.32255e+02    -1.06299e-07     2.43272e+02     3.16488e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.71984e+02    -8.30326e-08     2.41623e+02     6.25071e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.89458e+02    -7.10527e-08     2.40270e+02     8.78292e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.98347e+02    -7.23430e-08     2.39189e+02     1.08048e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -5.90272e+02    -8.56874e-08     2.38245e+02     1.25691e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.07319e+02    -1.02679e-07     2.37350e+02     1.42383e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.00744e+02    -1.16241e-07     2.36467e+02     1.58806e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -8.52436e+02    -1.23745e-07     2.35580e+02     1.75212e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.70361e+02    -1.26347e-07     2.34668e+02     1.91853e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.58984e+02    -1.24695e-07     2.33683e+02     2.09490e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.15641e+02    -1.18403e-07     2.32553e+02     2.29039e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.45330e+02    -1.08197e-07     2.31378e+02     2.47977e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.56430e+02    -9.52913e-08     2.31377e+02     2.42342e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.49363e+02    -7.97488e-08     2.37336e+02     1.21148e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.73097e+02    -6.86776e-08     2.46675e+02     0.00000e+00     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.73410e+02    -5.42064e-08     2.68107e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -3.00661e+02    -4.36457e-08     2.87817e+02     0.00000e+00     4.00000e+01
    18     90.1110        9     4.00000e+02    -2.08124e+02    -3.02125e-08     3.15844e+02     0.00000e+00     4.00000e+01
