    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -7.18639e+02    -1.04322e-07     2.43204e+02     2.54178e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.65316e+02    -8.20645e-08     2.41672e+02     5.40949e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.78363e+02    -6.94419e-08     2.40240e+02     8.08944e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.73738e+02    -6.87705e-08     2.39031e+02     1.03509e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -5.50753e+02    -7.99506e-08     2.37995e+02     1.22873e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -6.56416e+02    -9.52892e-08     2.37052e+02     1.40485e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -7.42515e+02    -1.07788e-07     2.36154e+02     1.57220e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -7.97346e+02    -1.15747e-07     2.35273e+02     1.73552e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.20479e+02    -1.19106e-07     2.34383e+02     1.89924e-06     4.00000e+01
    10      1.0230        5     4.00000e+02    -8.08552e+02    -1.17374e-07     2.33431e+02     2.07148e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.65083e+02    -1.11064e-07     2.32351e+02     2.26202e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.00131e+02    -1.01635e-07     2.31227e+02     2.45003e-06     4.00000e+01
    13      8.1910        9     4.00000e+02    -6.21752e+02    -9.02573e-08     2.31171e+02     2.41804e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.27652e+02    -7.65971e-08     2.36649e+02     1.31686e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.60369e+02    -6.68298e-08     2.45382e+02     0.00000e+00     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.70225e+02    -5.37440e-08     2.65873e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -3.02523e+02    -4.39161e-08     2.85047e+02     0.00000e+00     4.00000e+01
    18     90.1110       10     4.00000e+02    -2.13365e+02    -3.09733e-08     3.12993e+02     0.00000e+00     4.00000e+01
    19    155.6470       10     4.00000e+02    -1.23113e+02    -1.78719e-08     3.41131e+02     0.00000e+00     4.00000e+01
    20    286.7190       10     4.00000e+02    -6.51209e+01    -9.45334e-09     3.58780e+02     0.00000e+00     4.00000e+01
    21    365.0000        4     4.00000e+02    -5.02668e+01    -7.29702e-09     3.63295e+02     0.00000e+00     4.00000e+01
    22    496.0720        8     4.00000e+02    -4.29659e+01    -6.23719e-09     3.65747e+02     0.00000e+00     4.00000e+01
    23    613.0360        6     4.00000e+02    -4.09197e+01    -5.94015e-09     3.66651e+02     0.00000e+00     4.00000e+01
    24    730.0000        6     4.00000e+02    -4.02832e+01    -5.84775e-09     3.67151e+02     0.00000e+00     4.00000e+01
    25    846.9640        7     4.00000e+02    -4.00831e+01    -5.81871e-09     3.67529e+02     0.00000e+00     4.00000e+01
    26    963.9280        7     4.00000e+02    -4.00148e+01    -5.80878e-09     3.67866e+02     0.00000e+00     4.00000e+01
    27   1029.4640        4     4.00000e+02    -4.00064e+01    -5.80757e-09     3.68065e+02     0.00000e+00     4.00000e+01
    28   1095.0000        5     4.00000e+02    -3.99984e+01    -5.80641e-09     3.68258e+02     0.00000e+00     4.00000e+01
