    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -6.68893e+02    -9.71005e-08     2.42578e+02     2.58667e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.34680e+02    -7.76174e-08     2.40977e+02     5.58229e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.54855e+02    -6.60294e-08     2.39459e+02     8.42246e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.48500e+02    -6.51069e-08     2.38194e+02     1.07893e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -5.25248e+02    -7.62481e-08     2.37137e+02     1.27655e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -6.47316e+02    -9.39682e-08     2.36181e+02     1.45511e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -7.60764e+02    -1.10437e-07     2.35262e+02     1.62630e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -8.45160e+02    -1.22688e-07     2.34357e+02     1.79414e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.89265e+02    -1.29091e-07     2.33445e+02     1.96157e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.87888e+02    -1.28891e-07     2.32476e+02     2.13662e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.43169e+02    -1.22399e-07     2.31378e+02     2.32974e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.67984e+02    -1.11485e-07     2.30259e+02     2.51495e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.75814e+02    -9.81051e-08     2.30438e+02     2.43585e-06     4.00000e+01
    14     12.2870        5     4.00000e+02    -6.09929e+02    -8.85409e-08     2.32527e+02     2.00170e-06     4.00000e+01
    15     20.4790        9     4.00000e+02    -5.18142e+02    -7.52166e-08     2.41290e+02     3.20520e-07     4.00000e+01
