    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -8.23447e+02    -1.19536e-07     2.42588e+02     3.25067e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -6.51056e+02    -9.45111e-08     2.40838e+02     6.52534e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -5.61760e+02    -8.15484e-08     2.39368e+02     9.27551e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -5.72837e+02    -8.31564e-08     2.38191e+02     1.14776e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -6.77157e+02    -9.83002e-08     2.37177e+02     1.33731e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.98323e+02    -1.15889e-07     2.36243e+02     1.51147e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.77164e+02    -1.27334e-07     2.35358e+02     1.67606e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -9.10953e+02    -1.32239e-07     2.34494e+02     1.83545e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -9.15475e+02    -1.32896e-07     2.33618e+02     1.99497e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.94663e+02    -1.29875e-07     2.32670e+02     2.16359e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.47904e+02    -1.23087e-07     2.31582e+02     2.35015e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.77237e+02    -1.12828e-07     2.30473e+02     2.52479e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.86339e+02    -9.96330e-08     2.30695e+02     2.42239e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.71826e+02    -8.30097e-08     2.37364e+02     1.07000e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.88693e+02    -7.09416e-08     2.47470e+02     0.00000e+00     4.00000e+01
    16     32.7670        5     4.00000e+02    -4.24478e+02    -6.16197e-08     2.58997e+02     0.00000e+00     4.00000e+01
    17     49.1510        9     4.00000e+02    -3.34471e+02    -4.85537e-08     2.81025e+02     0.00000e+00     4.00000e+01
    18     81.9190       10     4.00000e+02    -2.24243e+02    -3.25524e-08     3.12242e+02     0.00000e+00     4.00000e+01
    19    147.4550       10     4.00000e+02    -1.22451e+02    -1.77757e-08     3.41891e+02     0.00000e+00     4.00000e+01
    20    278.5270       10     4.00000e+02    -6.29614e+01    -9.13985e-09     3.59128e+02     0.00000e+00     4.00000e+01
    21    365.0000        4     4.00000e+02    -4.82343e+01    -7.00198e-09     3.63452e+02     0.00000e+00     4.00000e+01
    22    496.0720        7     4.00000e+02    -4.21669e+01    -6.12119e-09     3.65476e+02     0.00000e+00     4.00000e+01
