    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -8.01104e+02    -1.16293e-07     2.39771e+02     3.61048e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -6.26975e+02    -9.10154e-08     2.37776e+02     7.34356e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -5.41713e+02    -7.86383e-08     2.36108e+02     1.04650e-06     4.00000e+01
     4      0.0150        2     4.00000e+02    -5.57628e+02    -8.09486e-08     2.34833e+02     1.28490e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -6.58553e+02    -9.55995e-08     2.33789e+02     1.47991e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.75470e+02    -1.12572e-07     2.32836e+02     1.65759e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.68095e+02    -1.26018e-07     2.31907e+02     1.82999e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -9.30380e+02    -1.35060e-07     2.30976e+02     2.00144e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -9.57201e+02    -1.38953e-07     2.30021e+02     2.17440e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -9.40990e+02    -1.36600e-07     2.28993e+02     2.35551e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.82527e+02    -1.28113e-07     2.27823e+02     2.55258e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.97226e+02    -1.15730e-07     2.26611e+02     2.73711e-06     4.00000e+01
    13      8.1910        9     4.00000e+02    -6.96138e+02    -1.01056e-07     2.26634e+02     2.65563e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.74815e+02    -8.34435e-08     2.32837e+02     1.36404e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.89338e+02    -7.10352e-08     2.42494e+02     0.00000e+00     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.80095e+02    -5.51769e-08     2.64445e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -3.02028e+02    -4.38442e-08     2.84438e+02     0.00000e+00     4.00000e+01
    18     90.1110        9     4.00000e+02    -2.06031e+02    -2.99086e-08     3.12443e+02     0.00000e+00     4.00000e+01
    19    155.6470        9     4.00000e+02    -1.15696e+02    -1.67952e-08     3.39279e+02     0.00000e+00     4.00000e+01
    20    286.7190       10     4.00000e+02    -6.15956e+01    -8.94159e-09     3.55228e+02     0.00000e+00     4.00000e+01
    21    365.0000        3     4.00000e+02    -4.84105e+01    -7.02755e-09     3.59153e+02     0.00000e+00     4.00000e+01
    22    496.0720        8     4.00000e+02    -4.22495e+01    -6.13318e-09     3.61218e+02     0.00000e+00     4.00000e+01
    23    613.0360        6     4.00000e+02    -4.06051e+01    -5.89448e-09     3.61982e+02     0.00000e+00     4.00000e+01
    24    730.0000        6     4.00000e+02    -4.01195e+01    -5.82398e-09     3.62427e+02     0.00000e+00     4.00000e+01
    25    846.9640        7     4.00000e+02    -3.99741e+01    -5.80287e-09     3.62779e+02     0.00000e+00     4.00000e+01
    26    963.9280        7     4.00000e+02    -3.99282e+01    -5.79621e-09     3.63104e+02     0.00000e+00     4.00000e+01
    27   1029.4640        4     4.00000e+02    -3.99299e+01    -5.79646e-09     3.63300e+02     0.00000e+00     4.00000e+01
    28   1095.0000        5     4.00000e+02    -3.99278e+01    -5.79615e-09     3.63496e+02     0.00000e+00     4.00000e+01
    29   1160.5360        7     4.00000e+02    -3.99224e+01    -5.79537e-09     3.63680e+02     0.00000e+00     4.00000e+01
    30   1226.0720        9     4.00000e+02    -3.99578e+01    -5.80051e-09     3.63391e+02     7.90836e-02     4.00000e+01
    31   1357.1440        7     4.00000e+02    -4.21101e+01    -6.11296e-09     3.60341e+02     3.01436e+00     4.00000e+01
    32   1460.0000        5     4.00000e+02    -4.51778e+01    -6.55827e-09     3.57970e+02     6.61357e+00     4.00000e+01
    33   1591.0720        6     4.00000e+02    -4.94583e+01    -7.17967e-09     3.55533e+02     1.09446e+01     4.00000e+01
    34   1708.0360        5     4.00000e+02    -5.34710e+01    -7.76216e-09     3.53527e+02     1.49648e+01     4.00000e+01
    35   1825.0000        5     4.00000e+02    -5.78005e+01    -8.39066e-09     3.51482e+02     1.93585e+01     4.00000e+01
    36   1941.9640        5     4.00000e+02    -6.25425e+01    -9.07904e-09     3.49358e+02     2.41918e+01     4.00000e+01
    37   2058.9280        5     4.00000e+02    -6.76481e+01    -9.82020e-09     3.47199e+02     2.93653e+01     4.00000e+01
    38   2190.0000        5     4.00000e+02    -7.36576e+01    -1.06926e-08     3.44805e+02     3.54076e+01     4.00000e+01
    39   2321.0720        5     4.00000e+02    -7.99238e+01    -1.16022e-08     3.42452e+02     4.16907e+01     4.00000e+01
    40   2555.0000       10     4.00000e+02    -9.17580e+01    -1.33201e-08     3.38260e+02     5.35784e+01     4.00000e+01
    41   2737.5000        5     4.00000e+02    -1.02225e+02    -1.48396e-08     3.34740e+02     6.41711e+01     4.00000e+01
    42   2920.0000        5     4.00000e+02    -1.14129e+02    -1.65676e-08     3.30871e+02     7.62413e+01     4.00000e+01
    43   3102.5000        6     4.00000e+02    -1.27697e+02    -1.85373e-08     3.26611e+02     8.99961e+01     4.00000e+01
    44   3285.0000        6     4.00000e+02    -1.43050e+02    -2.07660e-08     3.21967e+02     1.05536e+02     4.00000e+01
    45   3467.5000        6     4.00000e+02    -1.60272e+02    -2.32661e-08     3.16957e+02     1.22942e+02     4.00000e+01
    46   3650.0000        7     4.00000e+02    -1.79307e+02    -2.60293e-08     3.11647e+02     1.42139e+02     4.00000e+01
    47   3832.5000        6     4.00000e+02    -2.00058e+02    -2.90417e-08     3.06100e+02     1.63029e+02     4.00000e+01
    48   4015.0000        6     4.00000e+02    -2.22508e+02    -3.23005e-08     3.00336e+02     1.85608e+02     4.00000e+01
    49   4197.5000        6     4.00000e+02    -2.46714e+02    -3.58145e-08     2.94344e+02     2.09944e+02     4.00000e+01
    50   4380.0000        6     4.00000e+02    -2.72781e+02    -3.95985e-08     2.88104e+02     2.36145e+02     4.00000e+01
    51   4562.5000        5     4.00000e+02    -3.00881e+02    -4.36777e-08     2.81575e+02     2.64390e+02     4.00000e+01
    52   4745.0000        6     4.00000e+02    -3.31347e+02    -4.81003e-08     2.74672e+02     2.95026e+02     4.00000e+01
    53   4927.5000        5     4.00000e+02    -3.64614e+02    -5.29296e-08     2.67292e+02     3.28496e+02     4.00000e+01
    54   5110.0000        6     4.00000e+02    -4.01099e+02    -5.82259e-08     2.59353e+02     3.65208e+02     4.00000e+01
    55   5292.5000        7     4.00000e+02    -4.41165e+02    -6.40421e-08     2.50795e+02     4.05520e+02     4.00000e+01
    56   5475.0000        6     4.00000e+02    -4.85109e+02    -7.04212e-08     2.41582e+02     4.49721e+02     4.00000e+01
    57   5657.5000        6     4.00000e+02    -5.33234e+02    -7.74074e-08     2.31677e+02     4.98114e+02     4.00000e+01
    58   5840.0000        5     4.00000e+02    -5.85885e+02    -8.50505e-08     2.21035e+02     5.51044e+02     4.00000e+01
    59   6022.5000        6     4.00000e+02    -6.43445e+02    -9.34062e-08     2.09603e+02     6.08897e+02     4.00000e+01
