    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -7.00457e+02    -1.01682e-07     2.33115e+02     2.97250e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.48285e+02    -7.95923e-08     2.30848e+02     7.21585e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.97664e+02    -7.22438e-08     2.28191e+02     1.21881e-06     4.00000e+01
     4      0.0150        2     4.00000e+02    -5.52997e+02    -8.02763e-08     2.25715e+02     1.68202e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -6.74787e+02    -9.79560e-08     2.23810e+02     2.03823e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.72733e+02    -1.12174e-07     2.22434e+02     2.29487e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.24791e+02    -1.19732e-07     2.21362e+02     2.49390e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -8.47459e+02    -1.23022e-07     2.20423e+02     2.66658e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.57265e+02    -1.24446e-07     2.19517e+02     2.83002e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.48059e+02    -1.23109e-07     2.18557e+02     2.99742e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.05267e+02    -1.16897e-07     2.17465e+02     3.17766e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.33564e+02    -1.06489e-07     2.16331e+02     3.34296e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.47737e+02    -9.40294e-08     2.16320e+02     3.25628e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.45929e+02    -7.92503e-08     2.22066e+02     2.02231e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.72627e+02    -6.86093e-08     2.31136e+02     2.88378e-07     4.00000e+01
    16     32.7670        5     4.00000e+02    -4.15362e+02    -6.02964e-08     2.41715e+02     0.00000e+00     4.00000e+01
    17     49.1510        9     4.00000e+02    -3.33951e+02    -4.84783e-08     2.62556e+02     0.00000e+00     4.00000e+01
    18     65.5350        5     4.00000e+02    -2.71379e+02    -3.93949e-08     2.80719e+02     0.00000e+00     4.00000e+01
    19     98.3030        9     4.00000e+02    -1.89796e+02    -2.75520e-08     3.05861e+02     0.00000e+00     4.00000e+01
    20    163.8390       10     4.00000e+02    -1.09984e+02    -1.59659e-08     3.30256e+02     0.00000e+00     4.00000e+01
    21    229.3750        5     4.00000e+02    -7.18824e+01    -1.04349e-08     3.41685e+02     0.00000e+00     4.00000e+01
    22    360.4470       10     4.00000e+02    -4.91381e+01    -7.13318e-09     3.48632e+02     0.00000e+00     4.00000e+01
    23    365.0000        1     4.00000e+02    -4.83728e+01    -7.02209e-09     3.48855e+02     0.00000e+00     4.00000e+01
    24    496.0720        7     4.00000e+02    -4.22776e+01    -6.13726e-09     3.50947e+02     0.00000e+00     4.00000e+01
    25    613.0360        6     4.00000e+02    -4.06045e+01    -5.89438e-09     3.51745e+02     0.00000e+00     4.00000e+01
    26    730.0000        6     4.00000e+02    -4.00954e+01    -5.82048e-09     3.52217e+02     0.00000e+00     4.00000e+01
    27    846.9640        6     4.00000e+02    -3.99365e+01    -5.79742e-09     3.52591e+02     0.00000e+00     4.00000e+01
    28    963.9280        7     4.00000e+02    -3.98807e+01    -5.78932e-09     3.52931e+02     0.00000e+00     4.00000e+01
    29   1029.4640        4     4.00000e+02    -3.98759e+01    -5.78863e-09     3.53130e+02     0.00000e+00     4.00000e+01
    30   1095.0000        5     4.00000e+02    -3.98692e+01    -5.78765e-09     3.53327e+02     0.00000e+00     4.00000e+01
    31   1160.5360        8     4.00000e+02    -3.98605e+01    -5.78639e-09     3.53508e+02     0.00000e+00     4.00000e+01
    32   1226.0720        7     4.00000e+02    -3.99164e+01    -5.79450e-09     3.52795e+02     1.23197e-01     4.00000e+01
    33   1291.6080        8     4.00000e+02    -4.03403e+01    -5.85603e-09     3.51338e+02     8.45748e-01     4.00000e+01
    34   1422.6800        8     4.00000e+02    -4.29841e+01    -6.23982e-09     3.47451e+02     4.14526e+00     4.00000e+01
    35   1460.0000        2     4.00000e+02    -4.40484e+01    -6.39432e-09     3.46243e+02     5.53816e+00     4.00000e+01
    36   1591.0720        6     4.00000e+02    -4.86409e+01    -7.06099e-09     3.42428e+02     1.03816e+01     4.00000e+01
    37   1708.0360        5     4.00000e+02    -5.32479e+01    -7.72978e-09     3.39181e+02     1.51096e+01     4.00000e+01
    38   1825.0000        5     4.00000e+02    -5.80013e+01    -8.41982e-09     3.36221e+02     1.98602e+01     4.00000e+01
    39   1941.9640        5     4.00000e+02    -6.28099e+01    -9.11786e-09     3.33482e+02     2.46407e+01     4.00000e+01
    40   2058.9280        5     4.00000e+02    -6.77481e+01    -9.83471e-09     3.30829e+02     2.95809e+01     4.00000e+01
    41   2190.0000        5     4.00000e+02    -7.35510e+01    -1.06771e-08     3.27850e+02     3.54243e+01     4.00000e+01
    42   2321.0720        5     4.00000e+02    -7.97466e+01    -1.15765e-08     3.24815e+02     4.16846e+01     4.00000e+01
    43   2438.0360        4     4.00000e+02    -8.56576e+01    -1.24346e-08     3.22037e+02     4.76636e+01     4.00000e+01
    44   2555.0000        5     4.00000e+02    -9.19064e+01    -1.33417e-08     3.19212e+02     5.39704e+01     4.00000e+01
    45   2788.9280       10     4.00000e+02    -1.05186e+02    -1.52695e-08     3.13523e+02     6.73338e+01     4.00000e+01
    46   2920.0000        4     4.00000e+02    -1.13433e+02    -1.64666e-08     3.10147e+02     7.56837e+01     4.00000e+01
    47   3102.5000        7     4.00000e+02    -1.26019e+02    -1.82937e-08     3.05164e+02     8.84098e+01     4.00000e+01
    48   3285.0000        7     4.00000e+02    -1.40096e+02    -2.03372e-08     2.99794e+02     1.02656e+02     4.00000e+01
    49   3467.5000        6     4.00000e+02    -1.55795e+02    -2.26161e-08     2.94029e+02     1.18529e+02     4.00000e+01
    50   3650.0000        5     4.00000e+02    -1.73231e+02    -2.51472e-08     2.87858e+02     1.36143e+02     4.00000e+01
    51   3832.5000        5     4.00000e+02    -1.92494e+02    -2.79436e-08     2.81283e+02     1.55585e+02     4.00000e+01
    52   4015.0000        6     4.00000e+02    -2.13653e+02    -3.10151e-08     2.74316e+02     1.76920e+02     4.00000e+01
    53   4197.5000        6     4.00000e+02    -2.36857e+02    -3.43836e-08     2.66924e+02     2.00309e+02     4.00000e+01
    54   4380.0000        6     4.00000e+02    -2.62345e+02    -3.80835e-08     2.59047e+02     2.25997e+02     4.00000e+01
    55   4562.5000        6     4.00000e+02    -2.90245e+02    -4.21337e-08     2.50674e+02     2.54102e+02     4.00000e+01
    56   4745.0000        5     4.00000e+02    -3.20618e+02    -4.65427e-08     2.41818e+02     2.84674e+02     4.00000e+01
    57   4927.5000        6     4.00000e+02    -3.53556e+02    -5.13243e-08     2.32473e+02     3.17812e+02     4.00000e+01
    58   5110.0000        6     4.00000e+02    -3.89269e+02    -5.65087e-08     2.22591e+02     3.53737e+02     4.00000e+01
    59   5292.5000        6     4.00000e+02    -4.28011e+02    -6.21325e-08     2.12116e+02     3.92702e+02     4.00000e+01
    60   5475.0000        6     4.00000e+02    -4.70034e+02    -6.82330e-08     2.00999e+02     4.34963e+02     4.00000e+01
    61   5657.5000        7     4.00000e+02    -4.91156e+02    -7.12991e-08     2.00000e+02     4.56455e+02     3.77487e+01
    62   5840.0000        5     4.00000e+02    -5.08103e+02    -7.37592e-08     2.00000e+02     4.75174e+02     3.55499e+01
    63   6022.5000        5     4.00000e+02    -5.24107e+02    -7.60825e-08     2.00000e+02     4.93013e+02     3.35534e+01
    64   6205.0000        5     4.00000e+02    -5.39401e+02    -7.83026e-08     2.00000e+02     5.09995e+02     3.17277e+01
    65   6570.0000        8     4.00000e+02    -5.67175e+02    -8.23345e-08     2.00000e+02     5.40665e+02     2.86090e+01
    66   6935.0000        4     4.00000e+02    -5.92846e+02    -8.60610e-08     2.00000e+02     5.68823e+02     2.59305e+01
    67   7300.0000        3     4.00000e+02    -6.16852e+02    -8.95459e-08     2.00000e+02     5.95029e+02     2.35752e+01
