    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -8.04532e+02    -1.16791e-07     2.43679e+02     2.56254e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -6.27831e+02    -9.11397e-08     2.42019e+02     5.66828e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -5.38926e+02    -7.82337e-08     2.40348e+02     8.79633e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -5.50040e+02    -7.98470e-08     2.38859e+02     1.15809e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -6.45304e+02    -9.36761e-08     2.37573e+02     1.39863e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.55413e+02    -1.09660e-07     2.36446e+02     1.60920e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.37322e+02    -1.21551e-07     2.35437e+02     1.79720e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -8.84472e+02    -1.28395e-07     2.34503e+02     1.97022e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -9.02432e+02    -1.31002e-07     2.33600e+02     2.13606e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.90593e+02    -1.29284e-07     2.32658e+02     2.30575e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.41968e+02    -1.22225e-07     2.31603e+02     2.49029e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.66109e+02    -1.11213e-07     2.30562e+02     2.66013e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.72059e+02    -9.75600e-08     2.30932e+02     2.54338e-06     4.00000e+01
    14     12.2870        5     4.00000e+02    -6.04925e+02    -8.78145e-08     2.33245e+02     2.06541e-06     4.00000e+01
    15     20.4790        9     4.00000e+02    -5.11790e+02    -7.42945e-08     2.42434e+02     3.07627e-07     4.00000e+01
    16     28.6710        5     4.00000e+02    -4.41614e+02    -6.41073e-08     2.53707e+02     0.00000e+00     4.00000e+01
    17     45.0550       10     4.00000e+02    -3.47184e+02    -5.03993e-08     2.76149e+02     0.00000e+00     4.00000e+01
    18     61.4390        5     4.00000e+02    -2.77400e+02    -4.02691e-08     2.95538e+02     0.00000e+00     4.00000e+01
    19     94.2070        8     4.00000e+02    -1.89725e+02    -2.75416e-08     3.21738e+02     0.00000e+00     4.00000e+01
    20    159.7430        9     4.00000e+02    -1.07471e+02    -1.56011e-08     3.46235e+02     0.00000e+00     4.00000e+01
    21    225.2790        5     4.00000e+02    -6.96827e+01    -1.01156e-08     3.57305e+02     0.00000e+00     4.00000e+01
    22    356.3510       10     4.00000e+02    -4.81688e+01    -6.99246e-09     3.63747e+02     0.00000e+00     4.00000e+01
    23    365.0000        1     4.00000e+02    -4.69133e+01    -6.81021e-09     3.64114e+02     0.00000e+00     4.00000e+01
    24    496.0720        7     4.00000e+02    -4.18369e+01    -6.07329e-09     3.65885e+02     0.00000e+00     4.00000e+01
    25    613.0360        6     4.00000e+02    -4.05087e+01    -5.88049e-09     3.66582e+02     0.00000e+00     4.00000e+01
    26    730.0000        6     4.00000e+02    -4.01243e+01    -5.82467e-09     3.67025e+02     0.00000e+00     4.00000e+01
    27    846.9640        7     4.00000e+02    -4.00095e+01    -5.80802e-09     3.67395e+02     0.00000e+00     4.00000e+01
    28    963.9280       10     4.00000e+02    -3.99690e+01    -5.80214e-09     3.67737e+02     0.00000e+00     4.00000e+01
    29   1029.4640        5     4.00000e+02    -3.99695e+01    -5.80220e-09     3.67938e+02     0.00000e+00     4.00000e+01
    30   1095.0000        9     4.00000e+02    -3.99849e+01    -5.80444e-09     3.67888e+02     4.00133e-02     4.00000e+01
    31   1160.5360        5     4.00000e+02    -4.03033e+01    -5.85066e-09     3.67246e+02     6.00178e-01     4.00000e+01
    32   1291.6080        8     4.00000e+02    -4.26933e+01    -6.19761e-09     3.65091e+02     3.60835e+00     4.00000e+01
    33   1460.0000        8     4.00000e+02    -4.76901e+01    -6.92297e-09     3.62195e+02     9.03891e+00     4.00000e+01
    34   1628.3920        7     4.00000e+02    -5.36502e+01    -7.78818e-09     3.59451e+02     1.51467e+01     4.00000e+01
    35   1825.0000        8     4.00000e+02    -6.14039e+01    -8.91376e-09     3.56328e+02     2.29829e+01     4.00000e+01
    36   2007.5000        6     4.00000e+02    -6.94573e+01    -1.00828e-08     3.53384e+02     3.11232e+01     4.00000e+01
    37   2190.0000        6     4.00000e+02    -7.82882e+01    -1.13648e-08     3.50393e+02     4.00265e+01     4.00000e+01
    38   2372.5000        6     4.00000e+02    -8.79713e+01    -1.27704e-08     3.47309e+02     4.97896e+01     4.00000e+01
    39   2555.0000        6     4.00000e+02    -9.87045e+01    -1.43285e-08     3.44053e+02     6.06294e+01     4.00000e+01
    40   2737.5000        6     4.00000e+02    -1.10702e+02    -1.60701e-08     3.40567e+02     7.27575e+01     4.00000e+01
    41   2920.0000        6     4.00000e+02    -1.24181e+02    -1.80269e-08     3.36805e+02     8.63880e+01     4.00000e+01
    42   3102.5000        6     4.00000e+02    -1.39267e+02    -2.02168e-08     3.32762e+02     1.01628e+02     4.00000e+01
    43   3285.0000        7     4.00000e+02    -1.56016e+02    -2.26482e-08     3.28452e+02     1.18527e+02     4.00000e+01
    44   3467.5000        7     4.00000e+02    -1.74628e+02    -2.53501e-08     3.23830e+02     1.37303e+02     4.00000e+01
    45   3650.0000        6     4.00000e+02    -1.95195e+02    -2.83357e-08     3.18904e+02     1.58032e+02     4.00000e+01
    46   3832.5000        6     4.00000e+02    -2.17747e+02    -3.16095e-08     3.13695e+02     1.80739e+02     4.00000e+01
    47   4015.0000        6     4.00000e+02    -2.42466e+02    -3.51977e-08     3.08170e+02     2.05622e+02     4.00000e+01
    48   4197.5000        6     4.00000e+02    -2.69544e+02    -3.91286e-08     3.02299e+02     2.32875e+02     4.00000e+01
    49   4380.0000        7     4.00000e+02    -2.99159e+02    -4.34276e-08     2.96059e+02     2.62671e+02     4.00000e+01
    50   4562.5000        6     4.00000e+02    -3.31522e+02    -4.81257e-08     2.89419e+02     2.95225e+02     4.00000e+01
    51   4745.0000        7     4.00000e+02    -3.66915e+02    -5.32636e-08     2.82332e+02     3.30823e+02     4.00000e+01
    52   4927.5000        7     4.00000e+02    -4.05634e+02    -5.88842e-08     2.74751e+02     3.69760e+02     4.00000e+01
    53   5110.0000        7     4.00000e+02    -4.47823e+02    -6.50086e-08     2.66672e+02     4.12167e+02     4.00000e+01
    54   5292.5000        8     4.00000e+02    -4.93608e+02    -7.16550e-08     2.58095e+02     4.58168e+02     4.00000e+01
    55   5475.0000        7     4.00000e+02    -5.43385e+02    -7.88810e-08     2.48950e+02     5.08181e+02     4.00000e+01
    56   5657.5000        8     4.00000e+02    -5.97900e+02    -8.67947e-08     2.39096e+02     5.62972e+02     4.00000e+01
    57   5840.0000        7     4.00000e+02    -6.57852e+02    -9.54976e-08     2.28419e+02     6.23235e+02     4.00000e+01
    58   6022.5000        6     4.00000e+02    -7.23860e+02    -1.05080e-07     2.16832e+02     6.89581e+02     4.00000e+01
    59   6205.0000        4     4.00000e+02    -7.96846e+02    -1.15675e-07     2.04189e+02     7.62948e+02     4.00000e+01
    60   6570.0000        6     4.00000e+02    -8.62499e+02    -1.25205e-07     2.00000e+02     8.30748e+02     3.52393e+01
    61   6935.0000        3     4.00000e+02    -9.06153e+02    -1.31543e-07     2.00000e+02     8.78311e+02     3.04857e+01
    62   7300.0000        3     4.00000e+02    -9.45378e+02    -1.37237e-07     2.00000e+02     9.21208e+02     2.65190e+01
    63   7665.0000        3     4.00000e+02    -9.80883e+02    -1.42391e-07     2.00000e+02     9.59798e+02     2.31975e+01
