    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -6.03645e+02    -8.76287e-08     2.41880e+02     2.51044e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -4.83047e+02    -7.01220e-08     2.40220e+02     5.61731e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.12707e+02    -5.99110e-08     2.38541e+02     8.75872e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.10237e+02    -5.95524e-08     2.37097e+02     1.14610e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -4.84258e+02    -7.02977e-08     2.35913e+02     1.36747e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -6.00356e+02    -8.71513e-08     2.34895e+02     1.55762e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -7.08880e+02    -1.02905e-07     2.33967e+02     1.73043e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -7.81999e+02    -1.13520e-07     2.33087e+02     1.89351e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.17345e+02    -1.18651e-07     2.32212e+02     2.05394e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.18765e+02    -1.18857e-07     2.31276e+02     2.22269e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.83579e+02    -1.13749e-07     2.30202e+02     2.41088e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.17592e+02    -1.04170e-07     2.29070e+02     2.59784e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.35195e+02    -9.22087e-08     2.28990e+02     2.56546e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.33201e+02    -7.74026e-08     2.34477e+02     1.45300e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.59364e+02    -6.66840e-08     2.43263e+02     0.00000e+00     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.62764e+02    -5.26610e-08     2.63820e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -2.92742e+02    -4.24962e-08     2.82952e+02     0.00000e+00     4.00000e+01
    18     90.1110       10     4.00000e+02    -2.04805e+02    -2.97306e-08     3.10630e+02     0.00000e+00     4.00000e+01
    19    155.6470       10     4.00000e+02    -1.18619e+02    -1.72194e-08     3.38394e+02     0.00000e+00     4.00000e+01
    20    221.1830        5     4.00000e+02    -7.66819e+01    -1.11316e-08     3.51723e+02     0.00000e+00     4.00000e+01
    21    352.2550       10     4.00000e+02    -5.09120e+01    -7.39068e-09     3.60030e+02     0.00000e+00     4.00000e+01
    22    365.0000        1     4.00000e+02    -4.88067e+01    -7.08506e-09     3.60695e+02     0.00000e+00     4.00000e+01
    23    496.0720        7     4.00000e+02    -4.25517e+01    -6.17706e-09     3.62967e+02     0.00000e+00     4.00000e+01
    24    613.0360        6     4.00000e+02    -4.07886e+01    -5.92111e-09     3.63842e+02     0.00000e+00     4.00000e+01
    25    730.0000        7     4.00000e+02    -4.02390e+01    -5.84132e-09     3.64358e+02     0.00000e+00     4.00000e+01
    26    846.9640        7     4.00000e+02    -4.00647e+01    -5.81603e-09     3.64762e+02     0.00000e+00     4.00000e+01
    27    963.9280        7     4.00000e+02    -4.00043e+01    -5.80726e-09     3.65129e+02     0.00000e+00     4.00000e+01
    28   1029.4640        4     4.00000e+02    -3.99989e+01    -5.80648e-09     3.65345e+02     0.00000e+00     4.00000e+01
    29   1095.0000        5     4.00000e+02    -3.99916e+01    -5.80541e-09     3.65555e+02     0.00000e+00     4.00000e+01
    30   1160.5360        8     4.00000e+02    -4.00033e+01    -5.80711e-09     3.65483e+02     4.25832e-02     4.00000e+01
    31   1291.6080        9     4.00000e+02    -4.13403e+01    -6.00121e-09     3.63511e+02     1.93304e+00     4.00000e+01
    32   1460.0000        7     4.00000e+02    -4.56665e+01    -6.62922e-09     3.60343e+02     6.96276e+00     4.00000e+01
    33   1628.3920        7     4.00000e+02    -5.14891e+01    -7.47446e-09     3.57172e+02     1.30950e+01     4.00000e+01
    34   1825.0000        8     4.00000e+02    -5.91441e+01    -8.58570e-09     3.53656e+02     2.08518e+01     4.00000e+01
    35   2007.5000        6     4.00000e+02    -6.69280e+01    -9.71566e-09     3.50466e+02     2.86950e+01     4.00000e+01
    36   2190.0000        7     4.00000e+02    -7.54874e+01    -1.09582e-08     3.47205e+02     3.73387e+01     4.00000e+01
    37   2372.5000        7     4.00000e+02    -8.50632e+01    -1.23483e-08     3.43759e+02     4.70394e+01     4.00000e+01
    38   2555.0000        6     4.00000e+02    -9.56873e+01    -1.38905e-08     3.40146e+02     5.77820e+01     4.00000e+01
    39   2737.5000        7     4.00000e+02    -1.07305e+02    -1.55770e-08     3.36407e+02     6.94976e+01     4.00000e+01
    40   2920.0000        6     4.00000e+02    -1.20030e+02    -1.74242e-08     3.32492e+02     8.23333e+01     4.00000e+01
    41   3102.5000        6     4.00000e+02    -1.34040e+02    -1.94580e-08     3.28353e+02     9.64740e+01     4.00000e+01
    42   3285.0000        6     4.00000e+02    -1.49443e+02    -2.16940e-08     3.23979e+02     1.12014e+02     4.00000e+01
    43   3467.5000        6     4.00000e+02    -1.66384e+02    -2.41533e-08     3.19340e+02     1.29103e+02     4.00000e+01
    44   3650.0000        6     4.00000e+02    -1.85098e+02    -2.68699e-08     3.14376e+02     1.47985e+02     4.00000e+01
    45   3832.5000        7     4.00000e+02    -2.05790e+02    -2.98737e-08     3.09050e+02     1.68861e+02     4.00000e+01
    46   4015.0000        7     4.00000e+02    -2.28584e+02    -3.31827e-08     3.03357e+02     1.91841e+02     4.00000e+01
    47   4197.5000        8     4.00000e+02    -2.53592e+02    -3.68130e-08     2.97290e+02     2.17035e+02     4.00000e+01
    48   4380.0000        7     4.00000e+02    -2.80899e+02    -4.07770e-08     2.90853e+02     2.44526e+02     4.00000e+01
    49   4562.5000        7     4.00000e+02    -3.10556e+02    -4.50821e-08     2.84053e+02     2.74361e+02     4.00000e+01
    50   4745.0000        7     4.00000e+02    -3.42646e+02    -4.97405e-08     2.76886e+02     3.06628e+02     4.00000e+01
    51   4927.5000        6     4.00000e+02    -3.77401e+02    -5.47858e-08     2.69304e+02     3.41574e+02     4.00000e+01
    52   5110.0000        6     4.00000e+02    -4.15257e+02    -6.02811e-08     2.61208e+02     3.79650e+02     4.00000e+01
    53   5292.5000        7     4.00000e+02    -4.56749e+02    -6.63044e-08     2.52485e+02     4.21400e+02     4.00000e+01
    54   5475.0000        7     4.00000e+02    -5.02393e+02    -7.29303e-08     2.43043e+02     4.67331e+02     4.00000e+01
    55   5657.5000        7     4.00000e+02    -5.52770e+02    -8.02434e-08     2.32780e+02     5.18027e+02     4.00000e+01
    56   5840.0000        8     4.00000e+02    -6.08418e+02    -8.83216e-08     2.21613e+02     5.74019e+02     4.00000e+01
