    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -7.10656e+02    -1.03163e-07     2.41972e+02     3.02779e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.58433e+02    -8.10654e-08     2.40262e+02     6.22807e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.90661e+02    -7.12273e-08     2.38786e+02     8.99005e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -5.19701e+02    -7.54429e-08     2.37639e+02     1.11362e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -6.30806e+02    -9.15715e-08     2.36705e+02     1.28806e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.61282e+02    -1.10512e-07     2.35856e+02     1.44651e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.63985e+02    -1.25421e-07     2.35024e+02     1.60122e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -9.17849e+02    -1.33240e-07     2.34185e+02     1.75619e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -9.22292e+02    -1.33885e-07     2.33320e+02     1.91424e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.85982e+02    -1.28614e-07     2.32376e+02     2.08309e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.21304e+02    -1.19225e-07     2.31286e+02     2.27175e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.42471e+02    -1.07781e-07     2.30149e+02     2.45476e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.52454e+02    -9.47141e-08     2.30182e+02     2.39345e-06     4.00000e+01
    14     12.2870        5     4.00000e+02    -5.89235e+02    -8.55368e-08     2.32039e+02     1.99445e-06     4.00000e+01
    15     20.4790        9     4.00000e+02    -5.01549e+02    -7.28078e-08     2.40245e+02     3.94733e-07     4.00000e+01
    16     28.6710        5     4.00000e+02    -4.34993e+02    -6.31462e-08     2.50685e+02     0.00000e+00     4.00000e+01
    17     45.0550       10     4.00000e+02    -3.44944e+02    -5.00742e-08     2.72234e+02     0.00000e+00     4.00000e+01
    18     61.4390        6     4.00000e+02    -2.77940e+02    -4.03474e-08     2.91291e+02     0.00000e+00     4.00000e+01
    19     94.2070        9     4.00000e+02    -1.92557e+02    -2.79527e-08     3.17743e+02     0.00000e+00     4.00000e+01
    20    159.7430        9     4.00000e+02    -1.10501e+02    -1.60410e-08     3.43235e+02     0.00000e+00     4.00000e+01
    21    225.2790        5     4.00000e+02    -7.18265e+01    -1.04268e-08     3.55068e+02     0.00000e+00     4.00000e+01
    22    356.3510        9     4.00000e+02    -4.90745e+01    -7.12394e-09     3.62171e+02     0.00000e+00     4.00000e+01
    23    365.0000        1     4.00000e+02    -4.77358e+01    -6.92961e-09     3.62577e+02     0.00000e+00     4.00000e+01
    24    496.0720        7     4.00000e+02    -4.21499e+01    -6.11873e-09     3.64574e+02     0.00000e+00     4.00000e+01
    25    613.0360        5     4.00000e+02    -4.06407e+01    -5.89964e-09     3.65351e+02     0.00000e+00     4.00000e+01
    26    730.0000        6     4.00000e+02    -4.01871e+01    -5.83380e-09     3.65826e+02     0.00000e+00     4.00000e+01
    27    846.9640        7     4.00000e+02    -4.00454e+01    -5.81322e-09     3.66209e+02     0.00000e+00     4.00000e+01
    28    963.9280        7     4.00000e+02    -3.99959e+01    -5.80605e-09     3.66561e+02     0.00000e+00     4.00000e+01
    29   1029.4640        4     4.00000e+02    -3.99951e+01    -5.80593e-09     3.66770e+02     0.00000e+00     4.00000e+01
    30   1095.0000        5     4.00000e+02    -3.99915e+01    -5.80540e-09     3.66978e+02     0.00000e+00     4.00000e+01
    31   1160.5360        9     4.00000e+02    -3.99897e+01    -5.80515e-09     3.67065e+02     9.16956e-03     4.00000e+01
    32   1226.0720        6     4.00000e+02    -4.01559e+01    -5.82927e-09     3.66598e+02     3.17928e-01     4.00000e+01
    33   1357.1440        8     4.00000e+02    -4.23485e+01    -6.14756e-09     3.64322e+02     3.19638e+00     4.00000e+01
    34   1460.0000        4     4.00000e+02    -4.53787e+01    -6.58745e-09     3.62294e+02     6.73014e+00     4.00000e+01
