    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -6.61327e+02    -9.60021e-08     2.42164e+02     2.51284e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.32894e+02    -7.73581e-08     2.40492e+02     5.64071e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.46812e+02    -6.48619e-08     2.38788e+02     8.82932e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.23295e+02    -6.14480e-08     2.37327e+02     1.15641e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -4.74424e+02    -6.88702e-08     2.36162e+02     1.37406e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -5.73054e+02    -8.31879e-08     2.35187e+02     1.55612e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -6.67216e+02    -9.68571e-08     2.34284e+02     1.72432e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -7.36429e+02    -1.06904e-07     2.33394e+02     1.88925e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -7.82237e+02    -1.13554e-07     2.32489e+02     2.05547e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -7.99616e+02    -1.16077e-07     2.31516e+02     2.23098e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.80328e+02    -1.13277e-07     2.30407e+02     2.42584e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.26850e+02    -1.05514e-07     2.29251e+02     2.61726e-06     4.00000e+01
    13      8.1910        7     4.00000e+02    -6.49175e+02    -9.42381e-08     2.29240e+02     2.57210e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.47815e+02    -7.95241e-08     2.35082e+02     1.39321e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.73792e+02    -6.87785e-08     2.44278e+02     0.00000e+00     4.00000e+01
    16     32.7670        5     4.00000e+02    -4.16067e+02    -6.03988e-08     2.54975e+02     0.00000e+00     4.00000e+01
