Permeability,Porosity,Facies
365.436,15.131,2
351.785,15.1076,2
483.258,12.7095,4
497.484,12.1918,4
516.238,12.1789,4
537.204,12.3202,4
538.787,19.4836,1
555.583,21.5778,1
574.99,13.8273,4
564.012,13.8549,4
537.088,14.1585,4
501.757,14.8469,4
462.54,15.2049,4
428.551,14.9638,4
594.101,20.8993,1
580.305,26.0722,0
341.083,12.7396,2
345.113,20.4025,3
348.325,20.3186,3
345.822,15.1378,2
339,14.7769,2
512.247,17.0401,1
623.401,26.3272,0
622.159,26.0994,0
614.135,25.8443,0
606.281,24.9018,0
594.332,23.9051,0
581.388,24.7285,0
510.778,14.4683,4
362.425,14.5958,2
350.248,14.7906,2
341.743,14.8887,2
338.748,14.7585,2
541.134,20.0356,3
543.035,19.8506,3
374.446,15.7981,2
392.699,17.096,2
406.389,16.9408,2
415.234,16.565,2
424.831,16.2635,2
437.505,15.4197,2
450.519,15.563,2
464.978,15.0715,2
478.436,14.42,2
300.616,14.3987,4
453.176,20.877,1
456.994,20.5165,1
464.901,22.4766,1
420.944,16.5771,4
444.285,12.5194,2
456.312,12.5743,2
475.42,12.6813,2
501.168,13.953,2
531.241,14.5218,2
555.443,14.5864,2
425.129,20.3236,3
436.792,20.7947,3
438.514,20.1152,3
557.674,14.3891,2
400.372,19.8882,3
370.906,20.1301,3
343.211,21.0253,3
326.58,20.5051,3
536.699,16.4665,2
512.889,16.9759,2
483.849,15.9561,2
311.149,20.6127,3
306.878,19.0816,3
300.043,18.4217,3
294.055,18.2925,3
288.321,18.5503,3
284.544,17.2335,3
279.637,16.4412,3
282.492,16.2515,3
285.034,17.0185,3
465.19,12.1902,2
460.059,12.8804,2
446.932,12.7383,2
433.554,12.8546,2
513.058,16.5222,4
514.705,16.1614,4
510.214,15.2132,4
509.835,14.4055,4
627.933,24.9722,0
632.568,25.2175,0
637.353,25.1966,0
638.552,24.7605,0
631.777,24.7366,0
617.71,25.0196,0
596.98,25.7442,0
571.25,25.1706,0
547.476,24.1867,0
525.128,23.7022,0
510.223,23.0824,0
503.623,24.0527,0
502.929,22.892,0
505.182,22.7814,0
479.01,21.3965,1
467.231,23.3144,1
462.743,23.1347,1
470.634,24.0178,1
482.797,23.9587,1
498.566,24.4154,1
593.271,24.7528,0
597.515,24.6872,0
595.287,24.8268,0
584.711,23.4821,0
571.544,22.3838,0
51.1944,6.92219,5
54.956,7.32386,5
57.0012,6.22486,5
57.252,5.80722,5
54.0981,5.95829,5
48.2688,4.33988,5
41.5927,5.17339,5
36.1849,5.34417,5
33.3806,4.51232,5
33.5301,5.00834,5
35.8875,4.17717,5
40.5091,6.09673,5
47.0872,5.50374,5
54.5154,5.722,5
61.8259,5.27989,5
68.2079,4.79207,5
73.1503,4.58237,5
76.3941,4.20282,5
78.7121,4.12129,5
78.9844,3.55499,5
76.4323,3.20878,5
70.8639,2.89984,5
261.928,20.2456,3
279.444,21.2404,3
292.897,20.8056,3
304.169,20.5398,3
308.529,20.8951,3
304.464,20.6558,3
293.647,19.8752,3
393.834,14.487,2
373.854,15.9858,2
354.178,14.3284,2
337.722,15.5744,2
504.246,14.165,4
511.934,12.6912,4
525.64,12.7284,4
545.142,12.5151,4
553.635,20.3294,1
562.782,20.243,1
573.999,14.6131,4
332.104,14.4688,2
353.895,13.3554,2
368.78,13.3495,2
370.478,13.2294,2
431.425,13.9783,4
591.759,21.4058,1
601.087,26.0657,0
398.495,14.6873,4
345.469,19.2379,3
350.914,20.161,3
341.685,19.2858,3
357.583,14.2329,2
475.11,13.679,4
615.007,27.0456,0
615.893,26.3713,0
613.442,25.7891,0
610.142,25.4348,0
603.963,25.0088,0
594.613,24.4691,0
462.953,20.3936,1
361.548,15.2341,2
349.639,14.2041,2
344.129,13.4393,2
344.335,14.2116,2
536.611,19.9876,3
535.518,19.5408,3
532.498,20.0555,3
399.804,17.0686,2
414.542,16.4878,2
425.548,15.8563,2
435.104,16.38,2
444.486,16.5256,2
454.557,15.1309,2
465.377,15.7651,2
474.145,14.4502,2
276.483,13.89,4
459.39,20.9079,1
458.009,22.5607,1
462.302,21.5131,1
407.266,16.1257,4
453.622,11.2583,2
465.309,12.3157,2
487.913,12.8641,2
425.035,20.1644,3
545.666,12.7346,2
571.207,14.0101,2
583.68,13.9503,2
460.739,20.3411,3
457.078,19.9203,3
585.448,15.5971,2
591.867,15.9714,2
376.368,20.0228,3
344.782,20.1827,3
324.378,19.5309,3
547.265,15.362,2
519.494,16.2111,2
488.66,16.4463,2
462.591,15.9231,2
326.351,20.2795,3
326.845,19.7447,3
323.951,19.3024,3
316.737,19.6027,3
310.193,18.2256,3
304.192,17.7686,3
298.217,18.6223,3
295.421,17.9044,3
454.817,14.2333,2
447.531,13.1171,2
432.599,13.1962,2
420.047,12.4982,2
518.084,17.1836,4
517.94,16.2304,4
510.919,14.8652,4
499.665,14.5903,4
492.848,20.098,1
617.801,24.205,0
621.618,25.0082,0
620.833,25.3258,0
611.991,25.5777,0
593.523,24.9999,0
569.958,25.5674,0
544.781,25.6646,0
523.774,24.722,0
508.673,23.1882,0
502.381,24.0303,0
502.572,25.192,0
507.659,23.9427,0
513.389,23.5958,0
518.387,23.7924,0
455.373,22.9612,1
451.244,22.1282,1
461.15,22.4916,1
475.518,23.0244,1
590.286,24.7667,0
598.695,23.8771,0
603.465,24.675,0
602.218,23.441,0
593.191,23.2937,0
581.962,22.1674,0
573.361,23.2956,0
569.057,22.5303,0
60.1306,6.85881,5
59.7186,5.61865,5
56.1963,6.31025,5
49.9939,3.88548,5
43.6804,4.63152,5
38.569,2.81709,5
35.3952,3.51287,5
35.4799,4.91478,5
37.6467,5.3548,5
42.4815,6.31324,5
49.6525,7.45131,5
58.0317,6.01076,5
65.8041,6.24045,5
72.2472,4.59353,5
76.7549,3.52754,5
79.2288,5.03527,5
79.4057,4.20937,5
78.2038,2.96226,5
73.7933,4.10346,5
67.1487,3.56888,5
271.744,19.9741,3
291.459,20.2434,3
306.731,20.13,3
317.086,20.9207,3
321.525,21.1205,3
316.191,20.3164,3
304.286,19.9625,3
378.406,15.1843,2
360.616,15.9194,2
340.596,15.6503,2
320.679,15.1954,2
524.591,13.8248,4
526.965,13.4324,4
536.798,13.3941,4
552.728,12.453,4
564.195,19.6029,1
569.406,20.6329,1
582.848,20.6496,1
334.208,14.5437,2
352.568,13.9061,2
364.611,13.3099,2
367.604,13.3382,2
357.552,13.5868,2
414.182,14.6482,4
572.309,21.124,1
549.424,21.938,1
382.513,14.673,2
357.94,18.9987,3
351.621,19.7281,3
373.909,15.1187,2
457.063,15.1677,4
496.962,17.4332,1
613.102,27.1934,0
614.33,26.5497,0
613.378,26.4704,0
612.457,25.408,0
605.877,24.4523,0
598.55,25.2822,0
460.889,17.1466,4
341.559,14.7319,2
337.106,14.3358,2
339.925,14.6754,2
347.556,14.658,2
521.537,19.6589,3
518.583,20.2094,3
401.693,15.9472,2
419.965,16.7098,2
430.881,15.2487,2
443.38,16.0039,2
503.882,21.1588,3
460.594,15.6244,2
464.675,15.4865,2
469.295,14.6028,2
475.478,13.3152,2
279.653,14.561,4
466.089,22.1754,1
466.018,21.6705,1
404.753,16.5921,4
460.388,11.1955,2
471.69,10.8706,2
492.597,11.5175,2
447.112,21.5139,3
457.481,22.1182,3
582.621,14.0185,2
597.539,14.8747,2
601.225,14.7006,2
465.578,19.3515,3
441.796,19.4942,3
601.326,16.2856,2
371.42,20.0484,3
341.069,19.6189,3
323.508,18.5598,3
319.439,19.4621,3
511.453,15.71,2
483.156,15.3364,2
458.901,17.3248,2
445.666,15.7957,2
353.17,20.392,3
352.698,19.805,3
345.481,19.2664,3
341.104,19.8451,3
333.696,18.1762,3
323.129,19.323,3
315.867,17.5155,3
442.122,12.3477,2
433.631,13.7672,2
424.417,13.2244,2
501.215,17.5753,4
510.142,17.8107,4
508.942,16.3322,4
390.189,14.3291,2
481.638,14.3551,4
469.405,20.1143,1
607.048,25.1502,0
610.147,23.9067,0
607.136,25.2129,0
597.16,24.6984,0
577.421,24.8609,0
553.608,25.0449,0
530.686,24.1207,0
511.508,24.1241,0
500.74,23.5612,0
498.443,22.5969,0
504.104,23.6191,0
511.151,24.5149,0
520.075,23.3623,0
525.81,24.6478,0
531.586,24.1605,0
542.889,23.1974,0
560.774,22.1736,0
581.304,23.3405,0
595.612,23.53,0
603.952,24.1901,0
606.782,25.2616,0
604.666,23.8379,0
597.337,22.7798,0
583.344,22.4665,0
573.684,23.6665,0
572.52,23.8041,0
570.959,23.8881,0
60.3861,6.01901,5
56.2099,6.06886,5
50.0507,3.60403,5
44.1994,3.15917,5
39.15,4.16196,5
36.5461,3.8401,5
36.5124,3.75454,5
38.9429,4.73329,5
43.9916,6.12359,5
51.1476,6.31095,5
59.4348,5.05753,5
67.5747,5.00137,5
73.0987,4.4885,5
77.0273,4.12959,5
77.939,5.36171,5
77.085,3.99673,5
74.5727,3.15428,5
68.8983,3.43858,5
62.8886,3.31663,5
293.833,20.8887,3
314.025,20.3074,3
331.363,20.4553,3
340.834,21.4169,3
341.189,20.7034,3
333.433,21.0422,3
318.823,20.1066,3
359.051,15.5338,2
343.947,15.8334,2
326.392,15.6164,2
