    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -9.30107e+02    -1.35020e-07     2.41461e+02     2.56333e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -7.30718e+02    -1.06075e-07     2.39799e+02     5.67446e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -6.07910e+02    -8.82478e-08     2.38152e+02     8.75630e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -5.82157e+02    -8.45093e-08     2.36744e+02     1.13900e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -6.49174e+02    -9.42380e-08     2.35577e+02     1.35727e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.51946e+02    -1.09157e-07     2.34554e+02     1.54822e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.34696e+02    -1.21169e-07     2.33604e+02     1.72529e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -8.79870e+02    -1.27727e-07     2.32686e+02     1.89528e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.97920e+02    -1.30347e-07     2.31768e+02     2.06385e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.86235e+02    -1.28651e-07     2.30784e+02     2.24126e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.38234e+02    -1.21683e-07     2.29661e+02     2.43836e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.62507e+02    -1.10690e-07     2.28480e+02     2.63362e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.69136e+02    -9.71358e-08     2.28397e+02     2.60079e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.57184e+02    -8.08842e-08     2.34100e+02     1.44634e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.77248e+02    -6.92801e-08     2.43217e+02     0.00000e+00     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.73777e+02    -5.42596e-08     2.64438e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -2.98962e+02    -4.33991e-08     2.84057e+02     0.00000e+00     4.00000e+01
    18     90.1110       10     4.00000e+02    -2.06108e+02    -2.99199e-08     3.12046e+02     0.00000e+00     4.00000e+01
    19    155.6470        9     4.00000e+02    -1.17211e+02    -1.70150e-08     3.39474e+02     0.00000e+00     4.00000e+01
    20    286.7190       10     4.00000e+02    -6.26146e+01    -9.08951e-09     3.56205e+02     0.00000e+00     4.00000e+01
    21    365.0000        3     4.00000e+02    -4.90273e+01    -7.11710e-09     3.60411e+02     0.00000e+00     4.00000e+01
    22    496.0720        8     4.00000e+02    -4.25168e+01    -6.17200e-09     3.62673e+02     0.00000e+00     4.00000e+01
    23    613.0360        6     4.00000e+02    -4.07354e+01    -5.91339e-09     3.63517e+02     0.00000e+00     4.00000e+01
    24    730.0000        6     4.00000e+02    -4.01996e+01    -5.83562e-09     3.64007e+02     0.00000e+00     4.00000e+01
    25    846.9640        7     4.00000e+02    -4.00352e+01    -5.81174e-09     3.64392e+02     0.00000e+00     4.00000e+01
    26    963.9280        7     4.00000e+02    -3.99812e+01    -5.80391e-09     3.64745e+02     0.00000e+00     4.00000e+01
    27   1029.4640        4     4.00000e+02    -3.99807e+01    -5.80383e-09     3.64956e+02     0.00000e+00     4.00000e+01
    28   1095.0000        4     4.00000e+02    -3.99771e+01    -5.80331e-09     3.65166e+02     0.00000e+00     4.00000e+01
    29   1160.5360        7     4.00000e+02    -3.99703e+01    -5.80232e-09     3.65366e+02     0.00000e+00     4.00000e+01
    30   1226.0720        7     4.00000e+02    -4.00215e+01    -5.80975e-09     3.65068e+02     1.13462e-01     4.00000e+01
    31   1357.1440        8     4.00000e+02    -4.19526e+01    -6.09008e-09     3.62580e+02     2.74987e+00     4.00000e+01
    32   1460.0000        4     4.00000e+02    -4.47288e+01    -6.49310e-09     3.60538e+02     6.02299e+00     4.00000e+01
    33   1591.0720        6     4.00000e+02    -4.88882e+01    -7.09690e-09     3.58221e+02     1.03244e+01     4.00000e+01
    34   1708.0360        5     4.00000e+02    -5.31065e+01    -7.70926e-09     3.56115e+02     1.46625e+01     4.00000e+01
    35   1825.0000        5     4.00000e+02    -5.77836e+01    -8.38821e-09     3.53947e+02     1.94447e+01     4.00000e+01
    36   1941.9640        5     4.00000e+02    -6.27507e+01    -9.10926e-09     3.51823e+02     2.44531e+01     4.00000e+01
    37   2058.9280        5     4.00000e+02    -6.78432e+01    -9.84852e-09     3.49812e+02     2.95333e+01     4.00000e+01
    38   2190.0000        5     4.00000e+02    -7.36823e+01    -1.06962e-08     3.47643e+02     3.53639e+01     4.00000e+01
    39   2321.0720        5     4.00000e+02    -7.98455e+01    -1.15908e-08     3.45452e+02     4.15647e+01     4.00000e+01
    40   2438.0360        5     4.00000e+02    -8.57592e+01    -1.24493e-08     3.43415e+02     4.75469e+01     4.00000e+01
    41   2555.0000        5     4.00000e+02    -9.21501e+01    -1.33771e-08     3.41265e+02     5.40253e+01     4.00000e+01
    42   2671.9640        5     4.00000e+02    -9.90256e+01    -1.43751e-08     3.39018e+02     6.09843e+01     4.00000e+01
    43   2788.9280        5     4.00000e+02    -1.06347e+02    -1.54380e-08     3.36706e+02     6.83739e+01     4.00000e+01
    44   2920.0000        5     4.00000e+02    -1.15056e+02    -1.67022e-08     3.34045e+02     7.71496e+01     4.00000e+01
    45   3051.0720        5     4.00000e+02    -1.24395e+02    -1.80579e-08     3.31275e+02     8.65730e+01     4.00000e+01
    46   3168.0360        4     4.00000e+02    -1.33363e+02    -1.93597e-08     3.28680e+02     9.56344e+01     4.00000e+01
    47   3285.0000        4     4.00000e+02    -1.42972e+02    -2.07546e-08     3.25965e+02     1.05340e+02     4.00000e+01
    48   3401.9640        5     4.00000e+02    -1.53274e+02    -2.22502e-08     3.23120e+02     1.15745e+02     4.00000e+01
    49   3518.9280        5     4.00000e+02    -1.64320e+02    -2.38536e-08     3.20136e+02     1.26898e+02     4.00000e+01
    50   3650.0000        6     4.00000e+02    -1.77587e+02    -2.57795e-08     3.16640e+02     1.40277e+02     4.00000e+01
    51   3781.0720        5     4.00000e+02    -1.91797e+02    -2.78423e-08     3.12993e+02     1.54597e+02     4.00000e+01
    52   4015.0000       10     4.00000e+02    -2.19415e+02    -3.18516e-08     3.06155e+02     1.82385e+02     4.00000e+01
