    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -5.63625e+02    -8.18192e-08     2.41164e+02     2.75027e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -4.61440e+02    -6.69853e-08     2.39376e+02     6.09732e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -3.87139e+02    -5.61994e-08     2.37599e+02     9.42312e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -3.60594e+02    -5.23460e-08     2.36090e+02     1.22461e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -3.99400e+02    -5.79793e-08     2.34866e+02     1.45342e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -4.97603e+02    -7.22350e-08     2.33823e+02     1.64802e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -6.10685e+02    -8.86506e-08     2.32875e+02     1.82451e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -7.05158e+02    -1.02365e-07     2.31972e+02     1.99168e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -7.60583e+02    -1.10411e-07     2.31071e+02     2.15641e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -7.71546e+02    -1.12002e-07     2.30105e+02     2.32956e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.46178e+02    -1.08320e-07     2.28999e+02     2.52163e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -6.95144e+02    -1.00911e-07     2.27829e+02     2.71156e-06     4.00000e+01
    13      8.1910        7     4.00000e+02    -6.24969e+02    -9.07241e-08     2.27662e+02     2.68809e-06     4.00000e+01
    14     12.2870        5     4.00000e+02    -5.73555e+02    -8.32606e-08     2.29202e+02     2.34799e-06     4.00000e+01
    15     20.4790        9     4.00000e+02    -4.98906e+02    -7.24241e-08     2.36635e+02     8.65192e-07     4.00000e+01
    16     28.6710        6     4.00000e+02    -4.40404e+02    -6.39316e-08     2.46363e+02     0.00000e+00     4.00000e+01
    17     45.0550       10     4.00000e+02    -3.56628e+02    -5.17702e-08     2.67053e+02     0.00000e+00     4.00000e+01
    18     61.4390        6     4.00000e+02    -2.91741e+02    -4.23508e-08     2.85740e+02     0.00000e+00     4.00000e+01
    19     94.2070        9     4.00000e+02    -2.05580e+02    -2.98433e-08     3.12398e+02     0.00000e+00     4.00000e+01
    20    159.7430        9     4.00000e+02    -1.19062e+02    -1.72837e-08     3.38961e+02     0.00000e+00     4.00000e+01
    21    290.8150       10     4.00000e+02    -6.38668e+01    -9.27128e-09     3.55593e+02     0.00000e+00     4.00000e+01
    22    365.0000        3     4.00000e+02    -5.00651e+01    -7.26775e-09     3.59757e+02     0.00000e+00     4.00000e+01
    23    496.0720        7     4.00000e+02    -4.28788e+01    -6.22455e-09     3.62148e+02     0.00000e+00     4.00000e+01
    24    613.0360        5     4.00000e+02    -4.08554e+01    -5.93082e-09     3.63028e+02     0.00000e+00     4.00000e+01
    25    730.0000        6     4.00000e+02    -4.02244e+01    -5.83921e-09     3.63514e+02     0.00000e+00     4.00000e+01
    26    846.9640        6     4.00000e+02    -4.00241e+01    -5.81014e-09     3.63879e+02     0.00000e+00     4.00000e+01
    27    963.9280        7     4.00000e+02    -3.99547e+01    -5.80006e-09     3.64201e+02     0.00000e+00     4.00000e+01
