    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -5.62952e+02    -8.17214e-08     2.38661e+02     2.52114e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -4.48489e+02    -6.51053e-08     2.36865e+02     5.88236e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -3.83798e+02    -5.57144e-08     2.34919e+02     9.52388e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -3.84543e+02    -5.58225e-08     2.33203e+02     1.27334e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -4.58109e+02    -6.65018e-08     2.31857e+02     1.52504e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -5.65975e+02    -8.21603e-08     2.30766e+02     1.72877e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -6.62047e+02    -9.61066e-08     2.29784e+02     1.91159e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -7.30009e+02    -1.05972e-07     2.28840e+02     2.08628e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -7.69310e+02    -1.11678e-07     2.27902e+02     2.25815e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -7.76602e+02    -1.12736e-07     2.26910e+02     2.43610e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.46408e+02    -1.08353e-07     2.25788e+02     2.63115e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -6.87527e+02    -9.98055e-08     2.24596e+02     2.82494e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.13703e+02    -8.90888e-08     2.24355e+02     2.81448e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.23358e+02    -7.59738e-08     2.29340e+02     1.78091e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.57533e+02    -6.64183e-08     2.37602e+02     2.10945e-07     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.67862e+02    -5.34010e-08     2.57498e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -3.00409e+02    -4.36091e-08     2.76361e+02     0.00000e+00     4.00000e+01
    18     90.1110       10     4.00000e+02    -2.12360e+02    -3.08274e-08     3.04201e+02     0.00000e+00     4.00000e+01
    19    155.6470       10     4.00000e+02    -1.23466e+02    -1.79231e-08     3.32659e+02     0.00000e+00     4.00000e+01
    20    221.1830        5     4.00000e+02    -7.94165e+01    -1.15286e-08     3.46509e+02     0.00000e+00     4.00000e+01
    21    352.2550        9     4.00000e+02    -5.18787e+01    -7.53102e-09     3.55256e+02     0.00000e+00     4.00000e+01
    22    365.0000        1     4.00000e+02    -4.96174e+01    -7.20276e-09     3.55958e+02     0.00000e+00     4.00000e+01
    23    496.0720        7     4.00000e+02    -4.27949e+01    -6.21236e-09     3.58356e+02     0.00000e+00     4.00000e+01
    24    613.0360        6     4.00000e+02    -4.08429e+01    -5.92899e-09     3.59259e+02     0.00000e+00     4.00000e+01
    25    730.0000        6     4.00000e+02    -4.02256e+01    -5.83939e-09     3.59771e+02     0.00000e+00     4.00000e+01
    26    846.9640        7     4.00000e+02    -4.00284e+01    -5.81076e-09     3.60162e+02     0.00000e+00     4.00000e+01
    27    963.9280        8     4.00000e+02    -3.99616e+01    -5.80106e-09     3.60510e+02     0.00000e+00     4.00000e+01
    28   1029.4640        4     4.00000e+02    -3.99558e+01    -5.80022e-09     3.60714e+02     0.00000e+00     4.00000e+01
    29   1095.0000        7     4.00000e+02    -3.99525e+01    -5.79973e-09     3.60777e+02     6.54637e-03     4.00000e+01
    30   1226.0720        9     4.00000e+02    -4.06913e+01    -5.90699e-09     3.59022e+02     1.10388e+00     4.00000e+01
    31   1343.0360        5     4.00000e+02    -4.25811e+01    -6.18133e-09     3.56954e+02     3.51036e+00     4.00000e+01
    32   1460.0000        5     4.00000e+02    -4.55635e+01    -6.61427e-09     3.54610e+02     6.90234e+00     4.00000e+01
    33   1576.9640        5     4.00000e+02    -4.93521e+01    -7.16425e-09     3.52134e+02     1.09589e+01     4.00000e+01
    34   1810.8920       10     4.00000e+02    -5.76395e+01    -8.36729e-09     3.47639e+02     1.93345e+01     4.00000e+01
    35   1825.0000        2     4.00000e+02    -5.81894e+01    -8.44712e-09     3.47354e+02     1.99365e+01     4.00000e+01
    36   2007.5000        6     4.00000e+02    -6.56397e+01    -9.52865e-09     3.43827e+02     2.74518e+01     4.00000e+01
    37   2190.0000        6     4.00000e+02    -7.40491e+01    -1.07494e-08     3.40089e+02     3.59994e+01     4.00000e+01
    38   2372.5000        6     4.00000e+02    -8.34922e+01    -1.21202e-08     3.36151e+02     4.55822e+01     4.00000e+01
    39   2555.0000        6     4.00000e+02    -9.38717e+01    -1.36270e-08     3.32096e+02     5.60698e+01     4.00000e+01
    40   2737.5000        6     4.00000e+02    -1.05183e+02    -1.52690e-08     3.27923e+02     6.74804e+01     4.00000e+01
    41   2920.0000        6     4.00000e+02    -1.17577e+02    -1.70681e-08     3.23560e+02     7.99940e+01     4.00000e+01
    42   3102.5000        6     4.00000e+02    -1.31137e+02    -1.90366e-08     3.18994e+02     9.36787e+01     4.00000e+01
    43   3285.0000        6     4.00000e+02    -1.45912e+02    -2.11814e-08     3.14229e+02     1.08578e+02     4.00000e+01
    44   3467.5000        6     4.00000e+02    -1.62026e+02    -2.35207e-08     3.09226e+02     1.24827e+02     4.00000e+01
    45   3650.0000        6     4.00000e+02    -1.79666e+02    -2.60814e-08     3.03932e+02     1.42621e+02     4.00000e+01
    46   3832.5000        6     4.00000e+02    -1.98985e+02    -2.88859e-08     2.98316e+02     1.62105e+02     4.00000e+01
