    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.35239e+02     4.53045e-09     4.00000e+01
     2      0.0030        1     2.35191e+02     1.34922e-08     4.00000e+01
     3      0.0070        1     2.35097e+02     3.10290e-08     4.00000e+01
     4      0.0150        1     2.34918e+02     6.46343e-08     4.00000e+01
     5      0.0310        1     2.34587e+02     1.26532e-07     4.00000e+01
     6      0.0630        1     2.34020e+02     2.32714e-07     4.00000e+01
     7      0.1270        1     2.33154e+02     3.94679e-07     4.00000e+01
     8      0.2550        1     2.32040e+02     6.03281e-07     4.00000e+01
     9      0.5110        1     2.30859e+02     8.24330e-07     4.00000e+01
    10      1.0230        1     2.29777e+02     1.02664e-06     4.00000e+01
    11      2.0470        1     2.28808e+02     1.20780e-06     4.00000e+01
    12      4.0950        1     2.27888e+02     1.37965e-06     4.00000e+01
    13      8.1910        1     2.26984e+02     1.54833e-06     4.00000e+01
    14     16.3830        1     2.26086e+02     1.71509e-06     4.00000e+01
    15     32.7670        1     2.25186e+02     1.88090e-06     4.00000e+01
    16     65.5350        1     2.24279e+02     2.04540e-06     4.00000e+01
    17    131.0710        1     2.23368e+02     2.20576e-06     4.00000e+01
    18    262.1430        1     2.22452e+02     2.35730e-06     4.00000e+01
    19    365.0000        1     2.21965e+02     2.43294e-06     4.00000e+01
    20    627.1440        1     2.21210e+02     2.53688e-06     4.00000e+01
    21    730.0000        1     2.20959e+02     2.56948e-06     4.00000e+01
    22   1095.0000        1     2.20277e+02     2.64899e-06     4.00000e+01
    23   1460.0000        1     2.19682e+02     2.71531e-06     4.00000e+01
    24   1825.0000        1     2.19124e+02     2.77725e-06     4.00000e+01
    25   2190.0000        1     2.18584e+02     2.83847e-06     4.00000e+01
    26   2555.0000        1     2.18053e+02     2.90052e-06     4.00000e+01
    27   2920.0000        1     2.17525e+02     2.96405e-06     4.00000e+01
    28   3285.0000        1     2.17000e+02     3.02932e-06     4.00000e+01
    29   3650.0000        1     2.16475e+02     3.09638e-06     4.00000e+01
    30   4015.0000        1     2.15950e+02     3.16520e-06     4.00000e+01
    31   4380.0000        1     2.15426e+02     3.23570e-06     4.00000e+01
    32   4745.0000        1     2.14902e+02     3.30780e-06     4.00000e+01
    33   5110.0000        1     2.14377e+02     3.38140e-06     4.00000e+01
    34   5475.0000        1     2.13853e+02     3.45643e-06     4.00000e+01
    35   5840.0000        1     2.13328e+02     3.53278e-06     4.00000e+01
    36   6205.0000        1     2.12803e+02     3.61038e-06     4.00000e+01
    37   6570.0000        1     2.12278e+02     3.68915e-06     4.00000e+01
    38   6935.0000        1     2.11753e+02     3.76901e-06     4.00000e+01
    39   7300.0000        1     2.11227e+02     3.84990e-06     4.00000e+01
    40   7665.0000        1     2.10702e+02     3.93174e-06     4.00000e+01
    41   8030.0000        1     2.10176e+02     4.01450e-06     4.00000e+01
    42   8395.0000        1     2.09650e+02     4.09809e-06     4.00000e+01
    43   8760.0000        1     2.09125e+02     4.18248e-06     4.00000e+01
    44   9125.0000        1     2.08598e+02     4.26762e-06     4.00000e+01
    45   9490.0000        1     2.08072e+02     4.35345e-06     4.00000e+01
    46   9855.0000        1     2.07546e+02     4.43994e-06     4.00000e+01
    47  10220.0000        1     2.07019e+02     4.52705e-06     4.00000e+01
    48  10585.0000        1     2.06492e+02     4.61473e-06     4.00000e+01
    49  10950.0000        1     2.05965e+02     4.70296e-06     4.00000e+01
