    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.35906e+02     4.84253e-09     4.00000e+01
     2      0.0030        1     2.35854e+02     1.44232e-08     4.00000e+01
     3      0.0070        1     2.35754e+02     3.31777e-08     4.00000e+01
     4      0.0150        1     2.35562e+02     6.91426e-08     4.00000e+01
     5      0.0310        1     2.35208e+02     1.35491e-07     4.00000e+01
     6      0.0630        1     2.34597e+02     2.49706e-07     4.00000e+01
     7      0.1270        1     2.33659e+02     4.25256e-07     4.00000e+01
     8      0.2550        1     2.32432e+02     6.54869e-07     4.00000e+01
     9      0.5110        1     2.31098e+02     9.04540e-07     4.00000e+01
    10      1.0230        1     2.29843e+02     1.13939e-06     4.00000e+01
    11      2.0470        1     2.28714e+02     1.35054e-06     4.00000e+01
    12      4.0950        1     2.27664e+02     1.54660e-06     4.00000e+01
    13      8.1910        1     2.26651e+02     1.73555e-06     4.00000e+01
    14     16.3830        1     2.25654e+02     1.92055e-06     4.00000e+01
    15     32.7670        1     2.24669e+02     2.10186e-06     4.00000e+01
    16     65.5350        1     2.23696e+02     2.27792e-06     4.00000e+01
    17    131.0710        1     2.22738e+02     2.44541e-06     4.00000e+01
    18    262.1430        1     2.21793e+02     2.59924e-06     4.00000e+01
    19    365.0000        1     2.21297e+02     2.67431e-06     4.00000e+01
    20    627.1440        1     2.20535e+02     2.77361e-06     4.00000e+01
    21    730.0000        1     2.20283e+02     2.80419e-06     4.00000e+01
    22   1095.0000        1     2.19601e+02     2.87650e-06     4.00000e+01
    23   1460.0000        1     2.19006e+02     2.93612e-06     4.00000e+01
    24   1825.0000        1     2.18448e+02     2.99194e-06     4.00000e+01
    25   2190.0000        1     2.17908e+02     3.04758e-06     4.00000e+01
    26   2555.0000        1     2.17375e+02     3.10453e-06     4.00000e+01
    27   2920.0000        1     2.16846e+02     3.16340e-06     4.00000e+01
    28   3285.0000        1     2.16319e+02     3.22438e-06     4.00000e+01
    29   3650.0000        1     2.15793e+02     3.28749e-06     4.00000e+01
    30   4015.0000        1     2.15267e+02     3.35266e-06     4.00000e+01
    31   4380.0000        1     2.14741e+02     3.41979e-06     4.00000e+01
    32   4745.0000        1     2.14215e+02     3.48876e-06     4.00000e+01
    33   5110.0000        1     2.13690e+02     3.55946e-06     4.00000e+01
    34   5475.0000        1     2.13163e+02     3.63178e-06     4.00000e+01
    35   5840.0000        1     2.12637e+02     3.70562e-06     4.00000e+01
    36   6205.0000        1     2.12111e+02     3.78087e-06     4.00000e+01
    37   6570.0000        1     2.11584e+02     3.85744e-06     4.00000e+01
    38   6935.0000        1     2.11058e+02     3.93524e-06     4.00000e+01
    39   7300.0000        1     2.10531e+02     4.01420e-06     4.00000e+01
    40   7665.0000        1     2.10004e+02     4.09424e-06     4.00000e+01
    41   8030.0000        1     2.09477e+02     4.17528e-06     4.00000e+01
    42   8395.0000        1     2.08949e+02     4.25727e-06     4.00000e+01
    43   8760.0000        1     2.08422e+02     4.34014e-06     4.00000e+01
    44   9125.0000        1     2.07894e+02     4.42383e-06     4.00000e+01
    45   9490.0000        1     2.07366e+02     4.50830e-06     4.00000e+01
    46   9855.0000        1     2.06838e+02     4.59348e-06     4.00000e+01
    47  10220.0000        1     2.06310e+02     4.67935e-06     4.00000e+01
    48  10585.0000        1     2.05782e+02     4.76585e-06     4.00000e+01
    49  10950.0000        1     2.05254e+02     4.85294e-06     4.00000e+01
