    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.39058e+02     4.61488e-09     4.00000e+01
     2      0.0030        1     2.39010e+02     1.37323e-08     4.00000e+01
     3      0.0070        1     2.38914e+02     3.15301e-08     4.00000e+01
     4      0.0150        1     2.38733e+02     6.54771e-08     4.00000e+01
     5      0.0310        1     2.38402e+02     1.27475e-07     4.00000e+01
     6      0.0630        1     2.37842e+02     2.32330e-07     4.00000e+01
     7      0.1270        1     2.37004e+02     3.89093e-07     4.00000e+01
     8      0.2550        1     2.35946e+02     5.87036e-07     4.00000e+01
     9      0.5110        1     2.34829e+02     7.96199e-07     4.00000e+01
    10      1.0230        1     2.33774e+02     9.93577e-07     4.00000e+01
    11      2.0470        1     2.32783e+02     1.17886e-06     4.00000e+01
    12      4.0950        1     2.31815e+02     1.35970e-06     4.00000e+01
    13      8.1910        1     2.30858e+02     1.53812e-06     4.00000e+01
    14     16.3830        1     2.29921e+02     1.71223e-06     4.00000e+01
    15     32.7670        1     2.29005e+02     1.88136e-06     4.00000e+01
    16     65.5350        1     2.28098e+02     2.04616e-06     4.00000e+01
    17    131.0710        1     2.27194e+02     2.20587e-06     4.00000e+01
    18    262.1430        1     2.26288e+02     2.35687e-06     4.00000e+01
    19    365.0000        1     2.25808e+02     2.43232e-06     4.00000e+01
    20    627.1440        1     2.25065e+02     2.53653e-06     4.00000e+01
    21    730.0000        1     2.24817e+02     2.56935e-06     4.00000e+01
    22   1095.0000        1     2.24143e+02     2.65064e-06     4.00000e+01
    23   1460.0000        1     2.23551e+02     2.71933e-06     4.00000e+01
    24   1825.0000        1     2.22995e+02     2.78392e-06     4.00000e+01
    25   2190.0000        1     2.22454e+02     2.84790e-06     4.00000e+01
    26   2555.0000        1     2.21920e+02     2.91270e-06     4.00000e+01
    27   2920.0000        1     2.21390e+02     2.97893e-06     4.00000e+01
    28   3285.0000        1     2.20862e+02     3.04678e-06     4.00000e+01
    29   3650.0000        1     2.20334e+02     3.11630e-06     4.00000e+01
    30   4015.0000        1     2.19806e+02     3.18746e-06     4.00000e+01
    31   4380.0000        1     2.19279e+02     3.26018e-06     4.00000e+01
    32   4745.0000        1     2.18751e+02     3.33437e-06     4.00000e+01
    33   5110.0000        1     2.18224e+02     3.40996e-06     4.00000e+01
    34   5475.0000        1     2.17696e+02     3.48685e-06     4.00000e+01
    35   5840.0000        1     2.17168e+02     3.56496e-06     4.00000e+01
    36   6205.0000        1     2.16640e+02     3.64422e-06     4.00000e+01
    37   6570.0000        1     2.16112e+02     3.72456e-06     4.00000e+01
    38   6935.0000        1     2.15583e+02     3.80590e-06     4.00000e+01
    39   7300.0000        1     2.15055e+02     3.88819e-06     4.00000e+01
    40   7665.0000        1     2.14526e+02     3.97136e-06     4.00000e+01
    41   8030.0000        1     2.13997e+02     4.05536e-06     4.00000e+01
    42   8395.0000        1     2.13468e+02     4.14014e-06     4.00000e+01
    43   8760.0000        1     2.12939e+02     4.22565e-06     4.00000e+01
    44   9125.0000        1     2.12410e+02     4.31184e-06     4.00000e+01
    45   9490.0000        1     2.11880e+02     4.39868e-06     4.00000e+01
    46   9855.0000        1     2.11351e+02     4.48612e-06     4.00000e+01
    47  10220.0000        1     2.10821e+02     4.57412e-06     4.00000e+01
    48  10585.0000        1     2.10291e+02     4.66266e-06     4.00000e+01
    49  10950.0000        1     2.09761e+02     4.75170e-06     4.00000e+01
