    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.35883e+02     3.91881e-09     4.00000e+01
     2      0.0030        1     2.35842e+02     1.16847e-08     4.00000e+01
     3      0.0070        1     2.35760e+02     2.69356e-08     4.00000e+01
     4      0.0150        1     2.35603e+02     5.63640e-08     4.00000e+01
     5      0.0310        1     2.35310e+02     1.11286e-07     4.00000e+01
     6      0.0630        1     2.34794e+02     2.07767e-07     4.00000e+01
     7      0.1270        1     2.33976e+02     3.60884e-07     4.00000e+01
     8      0.2550        1     2.32860e+02     5.69824e-07     4.00000e+01
     9      0.5110        1     2.31595e+02     8.06427e-07     4.00000e+01
    10      1.0230        1     2.30388e+02     1.03233e-06     4.00000e+01
    11      2.0470        1     2.29330e+02     1.23026e-06     4.00000e+01
    12      4.0950        1     2.28390e+02     1.40585e-06     4.00000e+01
    13      8.1910        1     2.27511e+02     1.56981e-06     4.00000e+01
    14     16.3830        1     2.26652e+02     1.72943e-06     4.00000e+01
    15     32.7670        1     2.25793e+02     1.88774e-06     4.00000e+01
    16     65.5350        1     2.24931e+02     2.04445e-06     4.00000e+01
    17    131.0710        1     2.24066e+02     2.19718e-06     4.00000e+01
    18    262.1430        1     2.23197e+02     2.34183e-06     4.00000e+01
    19    365.0000        1     2.22736e+02     2.41427e-06     4.00000e+01
    20    627.1440        1     2.22015e+02     2.51520e-06     4.00000e+01
    21    730.0000        1     2.21774e+02     2.54714e-06     4.00000e+01
    22   1095.0000        1     2.21111e+02     2.62699e-06     4.00000e+01
    23   1460.0000        1     2.20526e+02     2.69464e-06     4.00000e+01
    24   1825.0000        1     2.19974e+02     2.75814e-06     4.00000e+01
    25   2190.0000        1     2.19438e+02     2.82082e-06     4.00000e+01
    26   2555.0000        1     2.18908e+02     2.88408e-06     4.00000e+01
    27   2920.0000        1     2.18383e+02     2.94853e-06     4.00000e+01
    28   3285.0000        1     2.17859e+02     3.01439e-06     4.00000e+01
    29   3650.0000        1     2.17335e+02     3.08174e-06     4.00000e+01
    30   4015.0000        1     2.16812e+02     3.15057e-06     4.00000e+01
    31   4380.0000        1     2.16289e+02     3.22082e-06     4.00000e+01
    32   4745.0000        1     2.15766e+02     3.29244e-06     4.00000e+01
    33   5110.0000        1     2.15243e+02     3.36536e-06     4.00000e+01
    34   5475.0000        1     2.14720e+02     3.43952e-06     4.00000e+01
    35   5840.0000        1     2.14197e+02     3.51485e-06     4.00000e+01
    36   6205.0000        1     2.13674e+02     3.59129e-06     4.00000e+01
    37   6570.0000        1     2.13150e+02     3.66878e-06     4.00000e+01
    38   6935.0000        1     2.12626e+02     3.74727e-06     4.00000e+01
    39   7300.0000        1     2.12102e+02     3.82669e-06     4.00000e+01
    40   7665.0000        1     2.11578e+02     3.90700e-06     4.00000e+01
    41   8030.0000        1     2.11054e+02     3.98815e-06     4.00000e+01
    42   8395.0000        1     2.10530e+02     4.07010e-06     4.00000e+01
    43   8760.0000        1     2.10006e+02     4.15281e-06     4.00000e+01
    44   9125.0000        1     2.09481e+02     4.23623e-06     4.00000e+01
    45   9490.0000        1     2.08956e+02     4.32033e-06     4.00000e+01
    46   9855.0000        1     2.08431e+02     4.40507e-06     4.00000e+01
    47  10220.0000        1     2.07906e+02     4.49041e-06     4.00000e+01
    48  10585.0000        1     2.07381e+02     4.57634e-06     4.00000e+01
    49  10950.0000        1     2.06856e+02     4.66281e-06     4.00000e+01
