    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.42413e+02     2.92052e-09     4.00000e+01
     2      0.0030        1     2.42382e+02     8.70947e-09     4.00000e+01
     3      0.0070        1     2.42321e+02     2.00836e-08     4.00000e+01
     4      0.0150        1     2.42204e+02     4.20552e-08     4.00000e+01
     5      0.0310        1     2.41984e+02     8.31663e-08     4.00000e+01
     6      0.0630        1     2.41596e+02     1.55847e-07     4.00000e+01
     7      0.1270        1     2.40970e+02     2.72996e-07     4.00000e+01
     8      0.2550        1     2.40086e+02     4.38482e-07     4.00000e+01
     9      0.5110        1     2.39018e+02     6.38298e-07     4.00000e+01
    10      1.0230        1     2.37903e+02     8.46920e-07     4.00000e+01
    11      2.0470        1     2.36843e+02     1.04524e-06     4.00000e+01
    12      4.0950        1     2.35862e+02     1.22868e-06     4.00000e+01
    13      8.1910        1     2.34935e+02     1.40193e-06     4.00000e+01
    14     16.3830        1     2.34030e+02     1.57056e-06     4.00000e+01
    15     32.7670        1     2.33134e+02     1.73690e-06     4.00000e+01
    16     65.5350        1     2.32243e+02     1.90094e-06     4.00000e+01
    17    131.0710        1     2.31357e+02     2.06159e-06     4.00000e+01
    18    262.1430        1     2.30472e+02     2.21691e-06     4.00000e+01
    19    365.0000        1     2.30003e+02     2.29660e-06     4.00000e+01
    20    627.1440        1     2.29270e+02     2.41373e-06     4.00000e+01
    21    730.0000        1     2.29025e+02     2.45180e-06     4.00000e+01
    22   1095.0000        1     2.28351e+02     2.55151e-06     4.00000e+01
    23   1460.0000        1     2.27754e+02     2.63750e-06     4.00000e+01
    24   1825.0000        1     2.27192e+02     2.71803e-06     4.00000e+01
    25   2190.0000        1     2.26646e+02     2.79652e-06     4.00000e+01
    26   2555.0000        1     2.26106e+02     2.87449e-06     4.00000e+01
    27   2920.0000        1     2.25570e+02     2.95264e-06     4.00000e+01
    28   3285.0000        1     2.25035e+02     3.03125e-06     4.00000e+01
    29   3650.0000        1     2.24502e+02     3.11047e-06     4.00000e+01
    30   4015.0000        1     2.23968e+02     3.19035e-06     4.00000e+01
    31   4380.0000        1     2.23434e+02     3.27089e-06     4.00000e+01
    32   4745.0000        1     2.22901e+02     3.35209e-06     4.00000e+01
    33   5110.0000        1     2.22367e+02     3.43394e-06     4.00000e+01
    34   5475.0000        1     2.21833e+02     3.51640e-06     4.00000e+01
    35   5840.0000        1     2.21299e+02     3.59947e-06     4.00000e+01
    36   6205.0000        1     2.20765e+02     3.68312e-06     4.00000e+01
    37   6570.0000        1     2.20231e+02     3.76733e-06     4.00000e+01
    38   6935.0000        1     2.19696e+02     3.85207e-06     4.00000e+01
    39   7300.0000        1     2.19161e+02     3.93733e-06     4.00000e+01
    40   7665.0000        1     2.18627e+02     4.02308e-06     4.00000e+01
    41   8030.0000        1     2.18092e+02     4.10931e-06     4.00000e+01
    42   8395.0000        1     2.17557e+02     4.19601e-06     4.00000e+01
    43   8760.0000        1     2.17021e+02     4.28314e-06     4.00000e+01
    44   9125.0000        1     2.16486e+02     4.37071e-06     4.00000e+01
    45   9490.0000        1     2.15950e+02     4.45868e-06     4.00000e+01
    46   9855.0000        1     2.15414e+02     4.54706e-06     4.00000e+01
    47  10220.0000        1     2.14878e+02     4.63581e-06     4.00000e+01
    48  10585.0000        1     2.14342e+02     4.72494e-06     4.00000e+01
    49  10950.0000        1     2.13806e+02     4.81441e-06     4.00000e+01
