    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.38472e+02     4.36848e-09     4.00000e+01
     2      0.0030        1     2.38426e+02     1.30114e-08     4.00000e+01
     3      0.0070        1     2.38335e+02     2.99305e-08     4.00000e+01
     4      0.0150        1     2.38162e+02     6.23761e-08     4.00000e+01
     5      0.0310        1     2.37842e+02     1.22228e-07     4.00000e+01
     6      0.0630        1     2.37292e+02     2.25226e-07     4.00000e+01
     7      0.1270        1     2.36447e+02     3.83443e-07     4.00000e+01
     8      0.2550        1     2.35341e+02     5.90409e-07     4.00000e+01
     9      0.5110        1     2.34133e+02     8.16381e-07     4.00000e+01
    10      1.0230        1     2.32984e+02     1.03145e-06     4.00000e+01
    11      2.0470        1     2.31932e+02     1.22806e-06     4.00000e+01
    12      4.0950        1     2.30943e+02     1.41293e-06     4.00000e+01
    13      8.1910        1     2.29982e+02     1.59222e-06     4.00000e+01
    14     16.3830        1     2.29033e+02     1.76851e-06     4.00000e+01
    15     32.7670        1     2.28092e+02     1.94216e-06     4.00000e+01
    16     65.5350        1     2.27158e+02     2.11212e-06     4.00000e+01
    17    131.0710        1     2.26231e+02     2.27590e-06     4.00000e+01
    18    262.1430        1     2.25310e+02     2.42928e-06     4.00000e+01
    19    365.0000        1     2.24825e+02     2.50550e-06     4.00000e+01
    20    627.1440        1     2.24076e+02     2.61010e-06     4.00000e+01
    21    730.0000        1     2.23827e+02     2.64294e-06     4.00000e+01
    22   1095.0000        1     2.23152e+02     2.72332e-06     4.00000e+01
    23   1460.0000        1     2.22562e+02     2.79043e-06     4.00000e+01
    24   1825.0000        1     2.22009e+02     2.85300e-06     4.00000e+01
    25   2190.0000        1     2.21474e+02     2.91465e-06     4.00000e+01
    26   2555.0000        1     2.20947e+02     2.97694e-06     4.00000e+01
    27   2920.0000        1     2.20423e+02     3.04053e-06     4.00000e+01
    28   3285.0000        1     2.19902e+02     3.10567e-06     4.00000e+01
    29   3650.0000        1     2.19381e+02     3.17244e-06     4.00000e+01
    30   4015.0000        1     2.18861e+02     3.24081e-06     4.00000e+01
    31   4380.0000        1     2.18341e+02     3.31074e-06     4.00000e+01
    32   4745.0000        1     2.17821e+02     3.38214e-06     4.00000e+01
    33   5110.0000        1     2.17301e+02     3.45494e-06     4.00000e+01
    34   5475.0000        1     2.16781e+02     3.52905e-06     4.00000e+01
    35   5840.0000        1     2.16260e+02     3.60441e-06     4.00000e+01
    36   6205.0000        1     2.15740e+02     3.68093e-06     4.00000e+01
    37   6570.0000        1     2.15219e+02     3.75854e-06     4.00000e+01
    38   6935.0000        1     2.14698e+02     3.83719e-06     4.00000e+01
    39   7300.0000        1     2.14177e+02     3.91680e-06     4.00000e+01
    40   7665.0000        1     2.13656e+02     3.99733e-06     4.00000e+01
    41   8030.0000        1     2.13134e+02     4.07871e-06     4.00000e+01
    42   8395.0000        1     2.12613e+02     4.16090e-06     4.00000e+01
    43   8760.0000        1     2.12091e+02     4.24386e-06     4.00000e+01
    44   9125.0000        1     2.11569e+02     4.32752e-06     4.00000e+01
    45   9490.0000        1     2.11047e+02     4.41186e-06     4.00000e+01
    46   9855.0000        1     2.10525e+02     4.49684e-06     4.00000e+01
    47  10220.0000        1     2.10003e+02     4.58241e-06     4.00000e+01
    48  10585.0000        1     2.09481e+02     4.66854e-06     4.00000e+01
    49  10950.0000        1     2.08958e+02     4.75521e-06     4.00000e+01
