    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.41049e+02     4.29137e-09     4.00000e+01
     2      0.0030        1     2.41004e+02     1.27667e-08     4.00000e+01
     3      0.0070        1     2.40915e+02     2.93002e-08     4.00000e+01
     4      0.0150        1     2.40747e+02     6.07952e-08     4.00000e+01
     5      0.0310        1     2.40441e+02     1.18182e-07     4.00000e+01
     6      0.0630        1     2.39924e+02     2.14871e-07     4.00000e+01
     7      0.1270        1     2.39155e+02     3.58708e-07     4.00000e+01
     8      0.2550        1     2.38188e+02     5.39705e-07     4.00000e+01
     9      0.5110        1     2.37162e+02     7.31712e-07     4.00000e+01
    10      1.0230        1     2.36179e+02     9.15608e-07     4.00000e+01
    11      2.0470        1     2.35237e+02     1.09176e-06     4.00000e+01
    12      4.0950        1     2.34297e+02     1.26751e-06     4.00000e+01
    13      8.1910        1     2.33340e+02     1.44601e-06     4.00000e+01
    14     16.3830        1     2.32372e+02     1.62621e-06     4.00000e+01
    15     32.7670        1     2.31403e+02     1.80560e-06     4.00000e+01
    16     65.5350        1     2.30441e+02     1.98145e-06     4.00000e+01
    17    131.0710        1     2.29492e+02     2.15102e-06     4.00000e+01
    18    262.1430        1     2.28553e+02     2.31106e-06     4.00000e+01
    19    365.0000        1     2.28059e+02     2.39139e-06     4.00000e+01
    20    627.1440        1     2.27298e+02     2.50432e-06     4.00000e+01
    21    730.0000        1     2.27045e+02     2.54021e-06     4.00000e+01
    22   1095.0000        1     2.26358e+02     2.63052e-06     4.00000e+01
    23   1460.0000        1     2.25755e+02     2.70714e-06     4.00000e+01
    24   1825.0000        1     2.25189e+02     2.77894e-06     4.00000e+01
    25   2190.0000        1     2.24640e+02     2.84955e-06     4.00000e+01
    26   2555.0000        1     2.24098e+02     2.92051e-06     4.00000e+01
    27   2920.0000        1     2.23559e+02     2.99248e-06     4.00000e+01
    28   3285.0000        1     2.23022e+02     3.06571e-06     4.00000e+01
    29   3650.0000        1     2.22486e+02     3.14027e-06     4.00000e+01
    30   4015.0000        1     2.21950e+02     3.21616e-06     4.00000e+01
    31   4380.0000        1     2.21415e+02     3.29332e-06     4.00000e+01
    32   4745.0000        1     2.20879e+02     3.37171e-06     4.00000e+01
    33   5110.0000        1     2.20343e+02     3.45125e-06     4.00000e+01
    34   5475.0000        1     2.19806e+02     3.53189e-06     4.00000e+01
    35   5840.0000        1     2.19270e+02     3.61355e-06     4.00000e+01
    36   6205.0000        1     2.18734e+02     3.69619e-06     4.00000e+01
    37   6570.0000        1     2.18197e+02     3.77974e-06     4.00000e+01
    38   6935.0000        1     2.17660e+02     3.86414e-06     4.00000e+01
    39   7300.0000        1     2.17123e+02     3.94936e-06     4.00000e+01
    40   7665.0000        1     2.16586e+02     4.03534e-06     4.00000e+01
    41   8030.0000        1     2.16049e+02     4.12204e-06     4.00000e+01
    42   8395.0000        1     2.15512e+02     4.20941e-06     4.00000e+01
    43   8760.0000        1     2.14974e+02     4.29742e-06     4.00000e+01
    44   9125.0000        1     2.14436e+02     4.38603e-06     4.00000e+01
    45   9490.0000        1     2.13898e+02     4.47521e-06     4.00000e+01
    46   9855.0000        1     2.13360e+02     4.56493e-06     4.00000e+01
    47  10220.0000        1     2.12822e+02     4.65515e-06     4.00000e+01
    48  10585.0000        1     2.12283e+02     4.74584e-06     4.00000e+01
    49  10950.0000        1     2.11745e+02     4.83699e-06     4.00000e+01
