    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -6.33126e+02    -9.19083e-08     2.41703e+02     2.51485e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.08450e+02    -7.38097e-08     2.40039e+02     5.62797e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.38296e+02    -6.36257e-08     2.38347e+02     8.79515e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.41409e+02    -6.40776e-08     2.36862e+02     1.15729e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -5.28335e+02    -7.66962e-08     2.35608e+02     1.39179e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -6.53821e+02    -9.49126e-08     2.34503e+02     1.59814e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -7.57250e+02    -1.09927e-07     2.33486e+02     1.78760e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -8.18301e+02    -1.18789e-07     2.32520e+02     1.96669e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.44042e+02    -1.22526e-07     2.31564e+02     2.14233e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.38086e+02    -1.21661e-07     2.30551e+02     2.32554e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.98160e+02    -1.15866e-07     2.29398e+02     2.52852e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.32839e+02    -1.06383e-07     2.28176e+02     2.73198e-06     4.00000e+01
    13      8.1910        9     4.00000e+02    -6.49778e+02    -9.43256e-08     2.28009e+02     2.71578e-06     4.00000e+01
    14     12.2870        5     4.00000e+02    -5.88996e+02    -8.55021e-08     2.29620e+02     2.36919e-06     4.00000e+01
    15     20.4790        9     4.00000e+02    -5.02048e+02    -7.28802e-08     2.37293e+02     8.52236e-07     4.00000e+01
    16     28.6710        6     4.00000e+02    -4.35675e+02    -6.32452e-08     2.47261e+02     0.00000e+00     4.00000e+01
    17     45.0550       10     4.00000e+02    -3.45673e+02    -5.01800e-08     2.68218e+02     0.00000e+00     4.00000e+01
    18     61.4390        5     4.00000e+02    -2.79318e+02    -4.05474e-08     2.86974e+02     0.00000e+00     4.00000e+01
    19     94.2070        9     4.00000e+02    -1.95040e+02    -2.83132e-08     3.13422e+02     0.00000e+00     4.00000e+01
    20    159.7430       10     4.00000e+02    -1.13014e+02    -1.64057e-08     3.39454e+02     0.00000e+00     4.00000e+01
    21    225.2790        5     4.00000e+02    -7.36362e+01    -1.06895e-08     3.51789e+02     0.00000e+00     4.00000e+01
    22    356.3510       10     4.00000e+02    -4.98339e+01    -7.23418e-09     3.59381e+02     0.00000e+00     4.00000e+01
    23    365.0000        1     4.00000e+02    -4.84263e+01    -7.02985e-09     3.59817e+02     0.00000e+00     4.00000e+01
    24    496.0720        7     4.00000e+02    -4.23820e+01    -6.15242e-09     3.61993e+02     0.00000e+00     4.00000e+01
    25    613.0360        6     4.00000e+02    -4.07027e+01    -5.90864e-09     3.62831e+02     0.00000e+00     4.00000e+01
    26    730.0000        6     4.00000e+02    -4.01862e+01    -5.83367e-09     3.63330e+02     0.00000e+00     4.00000e+01
    27    846.9640        6     4.00000e+02    -4.00253e+01    -5.81031e-09     3.63726e+02     0.00000e+00     4.00000e+01
    28    963.9280        8     4.00000e+02    -3.99718e+01    -5.80254e-09     3.64088e+02     0.00000e+00     4.00000e+01
    29   1029.4640        4     4.00000e+02    -3.99702e+01    -5.80231e-09     3.64305e+02     0.00000e+00     4.00000e+01
    30   1095.0000        6     4.00000e+02    -3.99660e+01    -5.80171e-09     3.64515e+02     0.00000e+00     4.00000e+01
    31   1160.5360        9     4.00000e+02    -3.99877e+01    -5.80486e-09     3.64360e+02     5.76648e-02     4.00000e+01
    32   1291.6080        8     4.00000e+02    -4.17478e+01    -6.06036e-09     3.61897e+02     2.52086e+00     4.00000e+01
    33   1460.0000        7     4.00000e+02    -4.65400e+01    -6.75603e-09     3.58502e+02     7.97081e+00     4.00000e+01
    34   1628.3920        6     4.00000e+02    -5.26082e+01    -7.63692e-09     3.55246e+02     1.42790e+01     4.00000e+01
    35   1825.0000        8     4.00000e+02    -6.04474e+01    -8.77490e-09     3.51656e+02     2.21958e+01     4.00000e+01
    36   2007.5000        7     4.00000e+02    -6.83586e+01    -9.92333e-09     3.48416e+02     3.01554e+01     4.00000e+01
    37   2190.0000        6     4.00000e+02    -7.69912e+01    -1.11765e-08     3.45123e+02     3.88614e+01     4.00000e+01
    38   2372.5000        6     4.00000e+02    -8.65282e+01    -1.25609e-08     3.41681e+02     4.85016e+01     4.00000e+01
    39   2555.0000        6     4.00000e+02    -9.71401e+01    -1.41014e-08     3.38031e+02     5.92398e+01     4.00000e+01
    40   2737.5000        6     4.00000e+02    -1.08965e+02    -1.58181e-08     3.34147e+02     7.12046e+01     4.00000e+01
    41   2920.0000        6     4.00000e+02    -1.22084e+02    -1.77224e-08     3.30030e+02     8.44640e+01     4.00000e+01
    42   3102.5000        6     4.00000e+02    -1.36546e+02    -1.98218e-08     3.25688e+02     9.90634e+01     4.00000e+01
    43   3285.0000        6     4.00000e+02    -1.52462e+02    -2.21323e-08     3.21098e+02     1.15123e+02     4.00000e+01
    44   3467.5000        6     4.00000e+02    -1.69983e+02    -2.46758e-08     3.16227e+02     1.32799e+02     4.00000e+01
    45   3650.0000        6     4.00000e+02    -1.89269e+02    -2.74754e-08     3.11047e+02     1.52251e+02     4.00000e+01
    46   3832.5000        6     4.00000e+02    -2.10398e+02    -3.05426e-08     3.05564e+02     1.73545e+02     4.00000e+01
    47   4015.0000        6     4.00000e+02    -2.33469e+02    -3.38917e-08     2.99768e+02     1.96783e+02     4.00000e+01
    48   4197.5000        7     4.00000e+02    -2.58670e+02    -3.75500e-08     2.93618e+02     2.22162e+02     4.00000e+01
    49   4380.0000        7     4.00000e+02    -2.86212e+02    -4.15482e-08     2.87072e+02     2.49896e+02     4.00000e+01
    50   4562.5000        6     4.00000e+02    -3.16212e+02    -4.59031e-08     2.80124e+02     2.80090e+02     4.00000e+01
    51   4745.0000        6     4.00000e+02    -3.48714e+02    -5.06214e-08     2.72789e+02     3.12780e+02     4.00000e+01
    52   4927.5000        7     4.00000e+02    -3.83864e+02    -5.57240e-08     2.65046e+02     3.48122e+02     4.00000e+01
    53   5110.0000        6     4.00000e+02    -4.21884e+02    -6.12432e-08     2.56853e+02     3.86345e+02     4.00000e+01
    54   5292.5000        7     4.00000e+02    -4.63125e+02    -6.72299e-08     2.48139e+02     4.27809e+02     4.00000e+01
    55   5475.0000        7     4.00000e+02    -5.07987e+02    -7.37424e-08     2.38825e+02     4.72919e+02     4.00000e+01
    56   5657.5000        6     4.00000e+02    -5.56891e+02    -8.08416e-08     2.28839e+02     5.22091e+02     4.00000e+01
    57   5840.0000        6     4.00000e+02    -6.10379e+02    -8.86062e-08     2.18081e+02     5.75877e+02     4.00000e+01
    58   6022.5000        7     4.00000e+02    -6.69041e+02    -9.71220e-08     2.06446e+02     6.34866e+02     4.00000e+01
    59   6205.0000        6     4.00000e+02    -7.12967e+02    -1.03499e-07     2.00000e+02     6.78952e+02     3.86464e+01
    60   6570.0000        7     4.00000e+02    -7.53194e+02    -1.09338e-07     2.00000e+02     7.22132e+02     3.38303e+01
    61   6935.0000        4     4.00000e+02    -7.88794e+02    -1.14506e-07     2.00000e+02     7.61411e+02     2.98221e+01
    62   7300.0000        3     4.00000e+02    -8.21455e+02    -1.19247e-07     2.00000e+02     7.97279e+02     2.63736e+01
    63   7665.0000        3     4.00000e+02    -8.51582e+02    -1.23621e-07     2.00000e+02     8.30192e+02     2.33854e+01
    64   8030.0000        2     4.00000e+02    -8.79333e+02    -1.27649e-07     2.00000e+02     8.60352e+02     2.08051e+01
    65   8395.0000        3     4.00000e+02    -9.04815e+02    -1.31348e-07     2.00000e+02     8.87901e+02     1.85885e+01
    66   8760.0000        2     4.00000e+02    -9.28167e+02    -1.34738e-07     2.00000e+02     9.13027e+02     1.66878e+01
    67   9125.0000        2     4.00000e+02    -9.49566e+02    -1.37845e-07     2.00000e+02     9.35951e+02     1.50544e+01
    68   9490.0000        2     4.00000e+02    -9.69202e+02    -1.40695e-07     2.00000e+02     9.56906e+02     1.36441e+01
    69   9855.0000        2     4.00000e+02    -9.87262e+02    -1.43317e-07     2.00000e+02     9.76112e+02     1.24194e+01
    70  10220.0000        2     4.00000e+02    -1.00391e+03    -1.45734e-07     2.00000e+02     9.93765e+02     1.13497e+01
    71  10585.0000        2     4.00000e+02    -1.01930e+03    -1.47968e-07     2.00000e+02     1.01004e+03     1.04098e+01
    72  10950.0000        2     4.00000e+02    -1.03356e+03    -1.50038e-07     2.00000e+02     1.02508e+03     9.57964e+00
