    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.37348e+02     3.33870e-09     4.00000e+01
     2      0.0030        1     2.37313e+02     9.96481e-09     4.00000e+01
     3      0.0070        1     2.37243e+02     2.30157e-08     4.00000e+01
     4      0.0150        1     2.37108e+02     4.83428e-08     4.00000e+01
     5      0.0310        1     2.36853e+02     9.61231e-08     4.00000e+01
     6      0.0630        1     2.36395e+02     1.81714e-07     4.00000e+01
     7      0.1270        1     2.35645e+02     3.22091e-07     4.00000e+01
     8      0.2550        1     2.34570e+02     5.23387e-07     4.00000e+01
     9      0.5110        1     2.33272e+02     7.66167e-07     4.00000e+01
    10      1.0230        1     2.31957e+02     1.01222e-06     4.00000e+01
    11      2.0470        1     2.30766e+02     1.23502e-06     4.00000e+01
    12      4.0950        1     2.29704e+02     1.43366e-06     4.00000e+01
    13      8.1910        1     2.28714e+02     1.61841e-06     4.00000e+01
    14     16.3830        1     2.27752e+02     1.79745e-06     4.00000e+01
    15     32.7670        1     2.26792e+02     1.97495e-06     4.00000e+01
    16     65.5350        1     2.25828e+02     2.15139e-06     4.00000e+01
    17    131.0710        1     2.24863e+02     2.32405e-06     4.00000e+01
    18    262.1430        1     2.23901e+02     2.48837e-06     4.00000e+01
    19    365.0000        1     2.23395e+02     2.57107e-06     4.00000e+01
    20    627.1440        1     2.22614e+02     2.68727e-06     4.00000e+01
    21    730.0000        1     2.22355e+02     2.72417e-06     4.00000e+01
    22   1095.0000        1     2.21650e+02     2.81669e-06     4.00000e+01
    23   1460.0000        1     2.21032e+02     2.89484e-06     4.00000e+01
    24   1825.0000        1     2.20450e+02     2.96774e-06     4.00000e+01
    25   2190.0000        1     2.19885e+02     3.03912e-06     4.00000e+01
    26   2555.0000        1     2.19327e+02     3.11058e-06     4.00000e+01
    27   2920.0000        1     2.18772e+02     3.18281e-06     4.00000e+01
    28   3285.0000        1     2.18220e+02     3.25609e-06     4.00000e+01
    29   3650.0000        1     2.17667e+02     3.33052e-06     4.00000e+01
    30   4015.0000        1     2.17116e+02     3.40613e-06     4.00000e+01
    31   4380.0000        1     2.16564e+02     3.48290e-06     4.00000e+01
    32   4745.0000        1     2.16012e+02     3.56078e-06     4.00000e+01
    33   5110.0000        1     2.15460e+02     3.63974e-06     4.00000e+01
    34   5475.0000        1     2.14908e+02     3.71972e-06     4.00000e+01
    35   5840.0000        1     2.14355e+02     3.80069e-06     4.00000e+01
    36   6205.0000        1     2.13803e+02     3.88260e-06     4.00000e+01
    37   6570.0000        1     2.13250e+02     3.96541e-06     4.00000e+01
    38   6935.0000        1     2.12697e+02     4.04907e-06     4.00000e+01
    39   7300.0000        1     2.12144e+02     4.13355e-06     4.00000e+01
    40   7665.0000        1     2.11591e+02     4.21881e-06     4.00000e+01
    41   8030.0000        1     2.11037e+02     4.30481e-06     4.00000e+01
    42   8395.0000        1     2.10484e+02     4.39153e-06     4.00000e+01
    43   8760.0000        1     2.09930e+02     4.47892e-06     4.00000e+01
    44   9125.0000        1     2.09376e+02     4.56696e-06     4.00000e+01
    45   9490.0000        1     2.08822e+02     4.65562e-06     4.00000e+01
    46   9855.0000        1     2.08268e+02     4.74487e-06     4.00000e+01
    47  10220.0000        1     2.07713e+02     4.83469e-06     4.00000e+01
    48  10585.0000        1     2.07159e+02     4.92505e-06     4.00000e+01
    49  10950.0000        1     2.06604e+02     5.01593e-06     4.00000e+01
