    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.40880e+02     4.32936e-09     4.00000e+01
     2      0.0030        1     2.40834e+02     1.28834e-08     4.00000e+01
     3      0.0070        1     2.40745e+02     2.95847e-08     4.00000e+01
     4      0.0150        1     2.40575e+02     6.14522e-08     4.00000e+01
     5      0.0310        1     2.40263e+02     1.19700e-07     4.00000e+01
     6      0.0630        1     2.39736e+02     2.18392e-07     4.00000e+01
     7      0.1270        1     2.38944e+02     3.66550e-07     4.00000e+01
     8      0.2550        1     2.37936e+02     5.55243e-07     4.00000e+01
     9      0.5110        1     2.36856e+02     7.57318e-07     4.00000e+01
    10      1.0230        1     2.35830e+02     9.49274e-07     4.00000e+01
    11      2.0470        1     2.34887e+02     1.12572e-06     4.00000e+01
    12      4.0950        1     2.34000e+02     1.29140e-06     4.00000e+01
    13      8.1910        1     2.33140e+02     1.45186e-06     4.00000e+01
    14     16.3830        1     2.32287e+02     1.61038e-06     4.00000e+01
    15     32.7670        1     2.31434e+02     1.76787e-06     4.00000e+01
    16     65.5350        1     2.30579e+02     1.92359e-06     4.00000e+01
    17    131.0710        1     2.29722e+02     2.07547e-06     4.00000e+01
    18    262.1430        1     2.28861e+02     2.22004e-06     4.00000e+01
    19    365.0000        1     2.28404e+02     2.29284e-06     4.00000e+01
    20    627.1440        1     2.27690e+02     2.39532e-06     4.00000e+01
    21    730.0000        1     2.27451e+02     2.42792e-06     4.00000e+01
    22   1095.0000        1     2.26796e+02     2.51029e-06     4.00000e+01
    23   1460.0000        1     2.26217e+02     2.58056e-06     4.00000e+01
    24   1825.0000        1     2.25671e+02     2.64673e-06     4.00000e+01
    25   2190.0000        1     2.25141e+02     2.71210e-06     4.00000e+01
    26   2555.0000        1     2.24617e+02     2.77805e-06     4.00000e+01
    27   2920.0000        1     2.24097e+02     2.84514e-06     4.00000e+01
    28   3285.0000        1     2.23578e+02     2.91360e-06     4.00000e+01
    29   3650.0000        1     2.23060e+02     2.98348e-06     4.00000e+01
    30   4015.0000        1     2.22542e+02     3.05476e-06     4.00000e+01
    31   4380.0000        1     2.22024e+02     3.12739e-06     4.00000e+01
    32   4745.0000        1     2.21506e+02     3.20131e-06     4.00000e+01
    33   5110.0000        1     2.20987e+02     3.27645e-06     4.00000e+01
    34   5475.0000        1     2.20469e+02     3.35273e-06     4.00000e+01
    35   5840.0000        1     2.19951e+02     3.43010e-06     4.00000e+01
    36   6205.0000        1     2.19432e+02     3.50849e-06     4.00000e+01
    37   6570.0000        1     2.18914e+02     3.58783e-06     4.00000e+01
    38   6935.0000        1     2.18395e+02     3.66808e-06     4.00000e+01
    39   7300.0000        1     2.17876e+02     3.74918e-06     4.00000e+01
    40   7665.0000        1     2.17357e+02     3.83107e-06     4.00000e+01
    41   8030.0000        1     2.16837e+02     3.91372e-06     4.00000e+01
    42   8395.0000        1     2.16318e+02     3.99708e-06     4.00000e+01
    43   8760.0000        1     2.15798e+02     4.08110e-06     4.00000e+01
    44   9125.0000        1     2.15279e+02     4.16576e-06     4.00000e+01
    45   9490.0000        1     2.14759e+02     4.25101e-06     4.00000e+01
    46   9855.0000        1     2.14239e+02     4.33682e-06     4.00000e+01
    47  10220.0000        1     2.13718e+02     4.42316e-06     4.00000e+01
    48  10585.0000        1     2.13198e+02     4.51000e-06     4.00000e+01
    49  10950.0000        1     2.12677e+02     4.59731e-06     4.00000e+01
