    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.39343e+02     4.42404e-09     4.00000e+01
     2      0.0030        1     2.39296e+02     1.31699e-08     4.00000e+01
     3      0.0070        1     2.39205e+02     3.02635e-08     4.00000e+01
     4      0.0150        1     2.39030e+02     6.29455e-08     4.00000e+01
     5      0.0310        1     2.38710e+02     1.22904e-07     4.00000e+01
     6      0.0630        1     2.38164e+02     2.25140e-07     4.00000e+01
     7      0.1270        1     2.37336e+02     3.80057e-07     4.00000e+01
     8      0.2550        1     2.36271e+02     5.79407e-07     4.00000e+01
     9      0.5110        1     2.35124e+02     7.94054e-07     4.00000e+01
    10      1.0230        1     2.34037e+02     9.97348e-07     4.00000e+01
    11      2.0470        1     2.33039e+02     1.18397e-06     4.00000e+01
    12      4.0950        1     2.32097e+02     1.35990e-06     4.00000e+01
    13      8.1910        1     2.31192e+02     1.52886e-06     4.00000e+01
    14     16.3830        1     2.30316e+02     1.69154e-06     4.00000e+01
    15     32.7670        1     2.29463e+02     1.84877e-06     4.00000e+01
    16     65.5350        1     2.28623e+02     2.00140e-06     4.00000e+01
    17    131.0710        1     2.27786e+02     2.14883e-06     4.00000e+01
    18    262.1430        1     2.26944e+02     2.28837e-06     4.00000e+01
    19    365.0000        1     2.26495e+02     2.35846e-06     4.00000e+01
    20    627.1440        1     2.25786e+02     2.45725e-06     4.00000e+01
    21    730.0000        1     2.25547e+02     2.48874e-06     4.00000e+01
    22   1095.0000        1     2.24884e+02     2.56910e-06     4.00000e+01
    23   1460.0000        1     2.24294e+02     2.63833e-06     4.00000e+01
    24   1825.0000        1     2.23735e+02     2.70405e-06     4.00000e+01
    25   2190.0000        1     2.23190e+02     2.76936e-06     4.00000e+01
    26   2555.0000        1     2.22652e+02     2.83553e-06     4.00000e+01
    27   2920.0000        1     2.22117e+02     2.90309e-06     4.00000e+01
    28   3285.0000        1     2.21583e+02     2.97222e-06     4.00000e+01
    29   3650.0000        1     2.21050e+02     3.04296e-06     4.00000e+01
    30   4015.0000        1     2.20517e+02     3.11526e-06     4.00000e+01
    31   4380.0000        1     2.19983e+02     3.18906e-06     4.00000e+01
    32   4745.0000        1     2.19450e+02     3.26427e-06     4.00000e+01
    33   5110.0000        1     2.18917e+02     3.34083e-06     4.00000e+01
    34   5475.0000        1     2.18383e+02     3.41865e-06     4.00000e+01
    35   5840.0000        1     2.17850e+02     3.49765e-06     4.00000e+01
    36   6205.0000        1     2.17316e+02     3.57777e-06     4.00000e+01
    37   6570.0000        1     2.16782e+02     3.65893e-06     4.00000e+01
    38   6935.0000        1     2.16248e+02     3.74107e-06     4.00000e+01
    39   7300.0000        1     2.15714e+02     3.82414e-06     4.00000e+01
    40   7665.0000        1     2.15179e+02     3.90808e-06     4.00000e+01
    41   8030.0000        1     2.14645e+02     3.99283e-06     4.00000e+01
    42   8395.0000        1     2.14110e+02     4.07836e-06     4.00000e+01
    43   8760.0000        1     2.13575e+02     4.16460e-06     4.00000e+01
    44   9125.0000        1     2.13040e+02     4.25152e-06     4.00000e+01
    45   9490.0000        1     2.12505e+02     4.33909e-06     4.00000e+01
    46   9855.0000        1     2.11969e+02     4.42725e-06     4.00000e+01
    47  10220.0000        1     2.11434e+02     4.51599e-06     4.00000e+01
    48  10585.0000        1     2.10898e+02     4.60525e-06     4.00000e+01
    49  10950.0000        1     2.10362e+02     4.69503e-06     4.00000e+01
