    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.42440e+02     4.47873e-09     4.00000e+01
     2      0.0030        1     2.42393e+02     1.33134e-08     4.00000e+01
     3      0.0070        1     2.42301e+02     3.05071e-08     4.00000e+01
     4      0.0150        1     2.42127e+02     6.31149e-08     4.00000e+01
     5      0.0310        1     2.41812e+02     1.22067e-07     4.00000e+01
     6      0.0630        1     2.41288e+02     2.20174e-07     4.00000e+01
     7      0.1270        1     2.40521e+02     3.63801e-07     4.00000e+01
     8      0.2550        1     2.39569e+02     5.41850e-07     4.00000e+01
     9      0.5110        1     2.38569e+02     7.29099e-07     4.00000e+01
    10      1.0230        1     2.37618e+02     9.06863e-07     4.00000e+01
    11      2.0470        1     2.36730e+02     1.07292e-06     4.00000e+01
    12      4.0950        1     2.35872e+02     1.23331e-06     4.00000e+01
    13      8.1910        1     2.35009e+02     1.39425e-06     4.00000e+01
    14     16.3830        1     2.34128e+02     1.55827e-06     4.00000e+01
    15     32.7670        1     2.33231e+02     1.72407e-06     4.00000e+01
    16     65.5350        1     2.32328e+02     1.88896e-06     4.00000e+01
    17    131.0710        1     2.31426e+02     2.04987e-06     4.00000e+01
    18    262.1430        1     2.30524e+02     2.20312e-06     4.00000e+01
    19    365.0000        1     2.30046e+02     2.28043e-06     4.00000e+01
    20    627.1440        1     2.29304e+02     2.39009e-06     4.00000e+01
    21    730.0000        1     2.29056e+02     2.42512e-06     4.00000e+01
    22   1095.0000        1     2.28376e+02     2.51453e-06     4.00000e+01
    23   1460.0000        1     2.27775e+02     2.59123e-06     4.00000e+01
    24   1825.0000        1     2.27209e+02     2.66357e-06     4.00000e+01
    25   2190.0000        1     2.26658e+02     2.73493e-06     4.00000e+01
    26   2555.0000        1     2.26114e+02     2.80675e-06     4.00000e+01
    27   2920.0000        1     2.25573e+02     2.87961e-06     4.00000e+01
    28   3285.0000        1     2.25034e+02     2.95376e-06     4.00000e+01
    29   3650.0000        1     2.24495e+02     3.02924e-06     4.00000e+01
    30   4015.0000        1     2.23957e+02     3.10603e-06     4.00000e+01
    31   4380.0000        1     2.23418e+02     3.18410e-06     4.00000e+01
    32   4745.0000        1     2.22880e+02     3.26338e-06     4.00000e+01
    33   5110.0000        1     2.22341e+02     3.34381e-06     4.00000e+01
    34   5475.0000        1     2.21802e+02     3.42531e-06     4.00000e+01
    35   5840.0000        1     2.21264e+02     3.50783e-06     4.00000e+01
    36   6205.0000        1     2.20725e+02     3.59130e-06     4.00000e+01
    37   6570.0000        1     2.20186e+02     3.67566e-06     4.00000e+01
    38   6935.0000        1     2.19646e+02     3.76087e-06     4.00000e+01
    39   7300.0000        1     2.19107e+02     3.84688e-06     4.00000e+01
    40   7665.0000        1     2.18567e+02     3.93363e-06     4.00000e+01
    41   8030.0000        1     2.18027e+02     4.02108e-06     4.00000e+01
    42   8395.0000        1     2.17487e+02     4.10919e-06     4.00000e+01
    43   8760.0000        1     2.16947e+02     4.19793e-06     4.00000e+01
    44   9125.0000        1     2.16407e+02     4.28725e-06     4.00000e+01
    45   9490.0000        1     2.15867e+02     4.37712e-06     4.00000e+01
    46   9855.0000        1     2.15326e+02     4.46752e-06     4.00000e+01
    47  10220.0000        1     2.14785e+02     4.55840e-06     4.00000e+01
    48  10585.0000        1     2.14244e+02     4.64975e-06     4.00000e+01
    49  10950.0000        1     2.13703e+02     4.74154e-06     4.00000e+01
