    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.35435e+02     4.36313e-09     4.00000e+01
     2      0.0030        1     2.35388e+02     1.30062e-08     4.00000e+01
     3      0.0070        1     2.35298e+02     2.99673e-08     4.00000e+01
     4      0.0150        1     2.35123e+02     6.26492e-08     4.00000e+01
     5      0.0310        1     2.34798e+02     1.23485e-07     4.00000e+01
     6      0.0630        1     2.34230e+02     2.29895e-07     4.00000e+01
     7      0.1270        1     2.33333e+02     3.97751e-07     4.00000e+01
     8      0.2550        1     2.32116e+02     6.25481e-07     4.00000e+01
     9      0.5110        1     2.30739e+02     8.83195e-07     4.00000e+01
    10      1.0230        1     2.29411e+02     1.13159e-06     4.00000e+01
    11      2.0470        1     2.28228e+02     1.35285e-06     4.00000e+01
    12      4.0950        1     2.27170e+02     1.55049e-06     4.00000e+01
    13      8.1910        1     2.26199e+02     1.73151e-06     4.00000e+01
    14     16.3830        1     2.25281e+02     1.90200e-06     4.00000e+01
    15     32.7670        1     2.24379e+02     2.06810e-06     4.00000e+01
    16     65.5350        1     2.23471e+02     2.23240e-06     4.00000e+01
    17    131.0710        1     2.22560e+02     2.39211e-06     4.00000e+01
    18    262.1430        1     2.21649e+02     2.54120e-06     4.00000e+01
    19    365.0000        1     2.21169e+02     2.61464e-06     4.00000e+01
    20    627.1440        1     2.20427e+02     2.71331e-06     4.00000e+01
    21    730.0000        1     2.20181e+02     2.74395e-06     4.00000e+01
    22   1095.0000        1     2.19510e+02     2.81769e-06     4.00000e+01
    23   1460.0000        1     2.18921e+02     2.87903e-06     4.00000e+01
    24   1825.0000        1     2.18367e+02     2.93650e-06     4.00000e+01
    25   2190.0000        1     2.17829e+02     2.99355e-06     4.00000e+01
    26   2555.0000        1     2.17299e+02     3.05164e-06     4.00000e+01
    27   2920.0000        1     2.16772e+02     3.11134e-06     4.00000e+01
    28   3285.0000        1     2.16247e+02     3.17288e-06     4.00000e+01
    29   3650.0000        1     2.15723e+02     3.23629e-06     4.00000e+01
    30   4015.0000        1     2.15199e+02     3.30152e-06     4.00000e+01
    31   4380.0000        1     2.14675e+02     3.36851e-06     4.00000e+01
    32   4745.0000        1     2.14150e+02     3.43715e-06     4.00000e+01
    33   5110.0000        1     2.13626e+02     3.50736e-06     4.00000e+01
    34   5475.0000        1     2.13102e+02     3.57905e-06     4.00000e+01
    35   5840.0000        1     2.12577e+02     3.65213e-06     4.00000e+01
    36   6205.0000        1     2.12053e+02     3.72652e-06     4.00000e+01
    37   6570.0000        1     2.11528e+02     3.80214e-06     4.00000e+01
    38   6935.0000        1     2.11003e+02     3.87892e-06     4.00000e+01
    39   7300.0000        1     2.10478e+02     3.95679e-06     4.00000e+01
    40   7665.0000        1     2.09952e+02     4.03568e-06     4.00000e+01
    41   8030.0000        1     2.09427e+02     4.11554e-06     4.00000e+01
    42   8395.0000        1     2.08901e+02     4.19630e-06     4.00000e+01
    43   8760.0000        1     2.08375e+02     4.27792e-06     4.00000e+01
    44   9125.0000        1     2.07849e+02     4.36035e-06     4.00000e+01
    45   9490.0000        1     2.07323e+02     4.44354e-06     4.00000e+01
    46   9855.0000        1     2.06797e+02     4.52744e-06     4.00000e+01
    47  10220.0000        1     2.06271e+02     4.61202e-06     4.00000e+01
    48  10585.0000        1     2.05744e+02     4.69723e-06     4.00000e+01
    49  10950.0000        1     2.05217e+02     4.78305e-06     4.00000e+01
