    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -5.06360e+02    -7.35062e-08     2.43100e+02     2.22397e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -4.18899e+02    -6.08099e-08     2.41641e+02     4.95525e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -3.55483e+02    -5.16040e-08     2.40164e+02     7.71761e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -3.34160e+02    -4.85087e-08     2.38876e+02     1.01290e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -3.73415e+02    -5.42072e-08     2.37791e+02     1.21567e-06     4.00000e+01
     6      0.0630        2     4.00000e+02    -4.70556e+02    -6.83086e-08     2.36833e+02     1.39476e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -5.80673e+02    -8.42939e-08     2.35935e+02     1.56216e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -6.64220e+02    -9.64221e-08     2.35061e+02     1.72444e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -7.11993e+02    -1.03357e-07     2.34180e+02     1.88690e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -7.29142e+02    -1.05847e-07     2.33237e+02     2.05837e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.15419e+02    -1.03854e-07     2.32161e+02     2.24992e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -6.71473e+02    -9.74750e-08     2.30991e+02     2.44976e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.04405e+02    -8.77390e-08     2.30608e+02     2.48482e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.13818e+02    -7.45888e-08     2.34967e+02     1.60208e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.46643e+02    -6.48374e-08     2.42518e+02     1.70734e-07     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.57386e+02    -5.18803e-08     2.61275e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -2.92320e+02    -4.24349e-08     2.79386e+02     0.00000e+00     4.00000e+01
    18     90.1110       10     4.00000e+02    -2.09259e+02    -3.03772e-08     3.06778e+02     0.00000e+00     4.00000e+01
    19    122.8790        5     4.00000e+02    -1.52947e+02    -2.22027e-08     3.25946e+02     0.00000e+00     4.00000e+01
    20    188.4150        9     4.00000e+02    -9.58210e+01    -1.39099e-08     3.45502e+02     0.00000e+00     4.00000e+01
    21    253.9510        5     4.00000e+02    -6.70794e+01    -9.73765e-09     3.55221e+02     0.00000e+00     4.00000e+01
    22    365.0000        8     4.00000e+02    -4.95217e+01    -7.18887e-09     3.61277e+02     0.00000e+00     4.00000e+01
    23    476.0490        6     4.00000e+02    -4.32994e+01    -6.28560e-09     3.63605e+02     0.00000e+00     4.00000e+01
    24    587.0980        6     4.00000e+02    -4.11441e+01    -5.97272e-09     3.64630e+02     0.00000e+00     4.00000e+01
    25    730.0000        9     4.00000e+02    -4.03336e+01    -5.85507e-09     3.65308e+02     0.00000e+00     4.00000e+01
    26    872.9020       10     4.00000e+02    -4.01053e+01    -5.82192e-09     3.65812e+02     0.00000e+00     4.00000e+01
    27    983.9510        7     4.00000e+02    -4.00550e+01    -5.81462e-09     3.66186e+02     0.00000e+00     4.00000e+01
    28   1039.4755        3     4.00000e+02    -4.00534e+01    -5.81439e-09     3.66385e+02     0.00000e+00     4.00000e+01
    29   1095.0000        5     4.00000e+02    -4.00489e+01    -5.81373e-09     3.66546e+02     7.20014e-04     4.00001e+01
    30   1206.0490        9     4.00000e+02    -4.03852e+01    -5.86256e-09     3.65848e+02     5.70798e-01     4.00000e+01
    31   1317.0980        6     4.00000e+02    -4.16618e+01    -6.04788e-09     3.64608e+02     2.31029e+00     4.00000e+01
    32   1460.0000        6     4.00000e+02    -4.50231e+01    -6.53582e-09     3.62286e+02     6.26872e+00     4.00000e+01
    33   1602.9020        6     4.00000e+02    -4.97663e+01    -7.22436e-09     3.59668e+02     1.14187e+01     4.00000e+01
    34   1713.9510        4     4.00000e+02    -5.39446e+01    -7.83091e-09     3.57685e+02     1.57193e+01     4.00000e+01
    35   1825.0000        5     4.00000e+02    -5.83016e+01    -8.46341e-09     3.55808e+02     2.00885e+01     4.00000e+01
    36   2047.0980       10     4.00000e+02    -6.72103e+01    -9.75665e-09     3.52282e+02     2.89906e+01     4.00000e+01
    37   2190.0000        4     4.00000e+02    -7.36235e+01    -1.06876e-08     3.49906e+02     3.55013e+01     4.00000e+01
    38   2372.5000        7     4.00000e+02    -8.27356e+01    -1.20104e-08     3.46658e+02     4.47530e+01     4.00000e+01
    39   2555.0000        6     4.00000e+02    -9.31218e+01    -1.35181e-08     3.43103e+02     5.53206e+01     4.00000e+01
    40   2737.5000        6     4.00000e+02    -1.04870e+02    -1.52236e-08     3.39257e+02     6.72495e+01     4.00000e+01
    41   2920.0000        7     4.00000e+02    -1.17826e+02    -1.71043e-08     3.35232e+02     8.03392e+01     4.00000e+01
