    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.35908e+02     4.88764e-09     4.00000e+01
     2      0.0030        1     2.35856e+02     1.45456e-08     4.00000e+01
     3      0.0070        1     2.35755e+02     3.34052e-08     4.00000e+01
     4      0.0150        1     2.35563e+02     6.94008e-08     4.00000e+01
     5      0.0310        1     2.35211e+02     1.35213e-07     4.00000e+01
     6      0.0630        1     2.34616e+02     2.46694e-07     4.00000e+01
     7      0.1270        1     2.33724e+02     4.13550e-07     4.00000e+01
     8      0.2550        1     2.32602e+02     6.23664e-07     4.00000e+01
     9      0.5110        1     2.31432e+02     8.42551e-07     4.00000e+01
    10      1.0230        1     2.30366e+02     1.04204e-06     4.00000e+01
    11      2.0470        1     2.29414e+02     1.21987e-06     4.00000e+01
    12      4.0950        1     2.28525e+02     1.38607e-06     4.00000e+01
    13      8.1910        1     2.27654e+02     1.54824e-06     4.00000e+01
    14     16.3830        1     2.26785e+02     1.70961e-06     4.00000e+01
    15     32.7670        1     2.25910e+02     1.87060e-06     4.00000e+01
    16     65.5350        1     2.25029e+02     2.02995e-06     4.00000e+01
    17    131.0710        1     2.24143e+02     2.18497e-06     4.00000e+01
    18    262.1430        1     2.23250e+02     2.33095e-06     4.00000e+01
    19    365.0000        1     2.22776e+02     2.40347e-06     4.00000e+01
    20    627.1440        1     2.22037e+02     2.50245e-06     4.00000e+01
    21    730.0000        1     2.21790e+02     2.53343e-06     4.00000e+01
    22   1095.0000        1     2.21115e+02     2.60947e-06     4.00000e+01
    23   1460.0000        1     2.20521e+02     2.67366e-06     4.00000e+01
    24   1825.0000        1     2.19962e+02     2.73434e-06     4.00000e+01
    25   2190.0000        1     2.19418e+02     2.79487e-06     4.00000e+01
    26   2555.0000        1     2.18882e+02     2.85665e-06     4.00000e+01
    27   2920.0000        1     2.18350e+02     2.92022e-06     4.00000e+01
    28   3285.0000        1     2.17819e+02     2.98577e-06     4.00000e+01
    29   3650.0000        1     2.17289e+02     3.05329e-06     4.00000e+01
    30   4015.0000        1     2.16759e+02     3.12273e-06     4.00000e+01
    31   4380.0000        1     2.16229e+02     3.19399e-06     4.00000e+01
    32   4745.0000        1     2.15699e+02     3.26696e-06     4.00000e+01
    33   5110.0000        1     2.15169e+02     3.34153e-06     4.00000e+01
    34   5475.0000        1     2.14638e+02     3.41760e-06     4.00000e+01
    35   5840.0000        1     2.14108e+02     3.49506e-06     4.00000e+01
    36   6205.0000        1     2.13577e+02     3.57383e-06     4.00000e+01
    37   6570.0000        1     2.13047e+02     3.65382e-06     4.00000e+01
    38   6935.0000        1     2.12516e+02     3.73494e-06     4.00000e+01
    39   7300.0000        1     2.11985e+02     3.81712e-06     4.00000e+01
    40   7665.0000        1     2.11454e+02     3.90028e-06     4.00000e+01
    41   8030.0000        1     2.10922e+02     3.98437e-06     4.00000e+01
    42   8395.0000        1     2.10391e+02     4.06932e-06     4.00000e+01
    43   8760.0000        1     2.09859e+02     4.15507e-06     4.00000e+01
    44   9125.0000        1     2.09327e+02     4.24157e-06     4.00000e+01
    45   9490.0000        1     2.08795e+02     4.32878e-06     4.00000e+01
    46   9855.0000        1     2.08263e+02     4.41664e-06     4.00000e+01
    47  10220.0000        1     2.07731e+02     4.50512e-06     4.00000e+01
    48  10585.0000        1     2.07198e+02     4.59417e-06     4.00000e+01
    49  10950.0000        1     2.06666e+02     4.68376e-06     4.00000e+01
