    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.41082e+02     2.77696e-09     4.00000e+01
     2      0.0030        1     2.41052e+02     8.28145e-09     4.00000e+01
     3      0.0070        1     2.40994e+02     1.90970e-08     4.00000e+01
     4      0.0150        1     2.40883e+02     3.99893e-08     4.00000e+01
     5      0.0310        1     2.40674e+02     7.90692e-08     4.00000e+01
     6      0.0630        1     2.40305e+02     1.48066e-07     4.00000e+01
     7      0.1270        1     2.39714e+02     2.58791e-07     4.00000e+01
     8      0.2550        1     2.38887e+02     4.13530e-07     4.00000e+01
     9      0.5110        1     2.37907e+02     5.96955e-07     4.00000e+01
    10      1.0230        1     2.36901e+02     7.85160e-07     4.00000e+01
    11      2.0470        1     2.35941e+02     9.64713e-07     4.00000e+01
    12      4.0950        1     2.35027e+02     1.13566e-06     4.00000e+01
    13      8.1910        1     2.34136e+02     1.30217e-06     4.00000e+01
    14     16.3830        1     2.33250e+02     1.46730e-06     4.00000e+01
    15     32.7670        1     2.32367e+02     1.63134e-06     4.00000e+01
    16     65.5350        1     2.31492e+02     1.79272e-06     4.00000e+01
    17    131.0710        1     2.30624e+02     1.95036e-06     4.00000e+01
    18    262.1430        1     2.29754e+02     2.10384e-06     4.00000e+01
    19    365.0000        1     2.29290e+02     2.18326e-06     4.00000e+01
    20    627.1440        1     2.28563e+02     2.30138e-06     4.00000e+01
    21    730.0000        1     2.28319e+02     2.33993e-06     4.00000e+01
    22   1095.0000        1     2.27649e+02     2.44115e-06     4.00000e+01
    23   1460.0000        1     2.27060e+02     2.52831e-06     4.00000e+01
    24   1825.0000        1     2.26505e+02     2.60971e-06     4.00000e+01
    25   2190.0000        1     2.25967e+02     2.68888e-06     4.00000e+01
    26   2555.0000        1     2.25436e+02     2.76738e-06     4.00000e+01
    27   2920.0000        1     2.24909e+02     2.84592e-06     4.00000e+01
    28   3285.0000        1     2.24383e+02     2.92483e-06     4.00000e+01
    29   3650.0000        1     2.23859e+02     3.00427e-06     4.00000e+01
    30   4015.0000        1     2.23334e+02     3.08430e-06     4.00000e+01
    31   4380.0000        1     2.22810e+02     3.16492e-06     4.00000e+01
    32   4745.0000        1     2.22286e+02     3.24615e-06     4.00000e+01
    33   5110.0000        1     2.21762e+02     3.32796e-06     4.00000e+01
    34   5475.0000        1     2.21237e+02     3.41034e-06     4.00000e+01
    35   5840.0000        1     2.20713e+02     3.49328e-06     4.00000e+01
    36   6205.0000        1     2.20188e+02     3.57675e-06     4.00000e+01
    37   6570.0000        1     2.19663e+02     3.66073e-06     4.00000e+01
    38   6935.0000        1     2.19138e+02     3.74520e-06     4.00000e+01
    39   7300.0000        1     2.18613e+02     3.83015e-06     4.00000e+01
    40   7665.0000        1     2.18087e+02     3.91555e-06     4.00000e+01
    41   8030.0000        1     2.17562e+02     4.00140e-06     4.00000e+01
    42   8395.0000        1     2.17036e+02     4.08767e-06     4.00000e+01
    43   8760.0000        1     2.16510e+02     4.17436e-06     4.00000e+01
    44   9125.0000        1     2.15984e+02     4.26143e-06     4.00000e+01
    45   9490.0000        1     2.15458e+02     4.34889e-06     4.00000e+01
    46   9855.0000        1     2.14932e+02     4.43671e-06     4.00000e+01
    47  10220.0000        1     2.14405e+02     4.52488e-06     4.00000e+01
    48  10585.0000        1     2.13879e+02     4.61340e-06     4.00000e+01
    49  10950.0000        1     2.13352e+02     4.70224e-06     4.00000e+01
