    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.36726e+02     4.15486e-09     4.00000e+01
     2      0.0030        1     2.36682e+02     1.23820e-08     4.00000e+01
     3      0.0070        1     2.36595e+02     2.85139e-08     4.00000e+01
     4      0.0150        1     2.36430e+02     5.95496e-08     4.00000e+01
     5      0.0310        1     2.36122e+02     1.17151e-07     4.00000e+01
     6      0.0630        1     2.35586e+02     2.17372e-07     4.00000e+01
     7      0.1270        1     2.34749e+02     3.74087e-07     4.00000e+01
     8      0.2550        1     2.33627e+02     5.84036e-07     4.00000e+01
     9      0.5110        1     2.32375e+02     8.18324e-07     4.00000e+01
    10      1.0230        1     2.31179e+02     1.04208e-06     4.00000e+01
    11      2.0470        1     2.30113e+02     1.24154e-06     4.00000e+01
    12      4.0950        1     2.29147e+02     1.42201e-06     4.00000e+01
    13      8.1910        1     2.28236e+02     1.59192e-06     4.00000e+01
    14     16.3830        1     2.27350e+02     1.75645e-06     4.00000e+01
    15     32.7670        1     2.26476e+02     1.91773e-06     4.00000e+01
    16     65.5350        1     2.25605e+02     2.07581e-06     4.00000e+01
    17    131.0710        1     2.24737e+02     2.22888e-06     4.00000e+01
    18    262.1430        1     2.23866e+02     2.37322e-06     4.00000e+01
    19    365.0000        1     2.23405e+02     2.44526e-06     4.00000e+01
    20    627.1440        1     2.22685e+02     2.54488e-06     4.00000e+01
    21    730.0000        1     2.22445e+02     2.57628e-06     4.00000e+01
    22   1095.0000        1     2.21787e+02     2.65405e-06     4.00000e+01
    23   1460.0000        1     2.21207e+02     2.71965e-06     4.00000e+01
    24   1825.0000        1     2.20661e+02     2.78122e-06     4.00000e+01
    25   2190.0000        1     2.20130e+02     2.84211e-06     4.00000e+01
    26   2555.0000        1     2.19607e+02     2.90372e-06     4.00000e+01
    27   2920.0000        1     2.19086e+02     2.96664e-06     4.00000e+01
    28   3285.0000        1     2.18568e+02     3.03110e-06     4.00000e+01
    29   3650.0000        1     2.18050e+02     3.09715e-06     4.00000e+01
    30   4015.0000        1     2.17532e+02     3.16477e-06     4.00000e+01
    31   4380.0000        1     2.17014e+02     3.23389e-06     4.00000e+01
    32   4745.0000        1     2.16497e+02     3.30444e-06     4.00000e+01
    33   5110.0000        1     2.15979e+02     3.37636e-06     4.00000e+01
    34   5475.0000        1     2.15461e+02     3.44957e-06     4.00000e+01
    35   5840.0000        1     2.14943e+02     3.52398e-06     4.00000e+01
    36   6205.0000        1     2.14425e+02     3.59955e-06     4.00000e+01
    37   6570.0000        1     2.13906e+02     3.67619e-06     4.00000e+01
    38   6935.0000        1     2.13388e+02     3.75386e-06     4.00000e+01
    39   7300.0000        1     2.12869e+02     3.83248e-06     4.00000e+01
    40   7665.0000        1     2.12350e+02     3.91201e-06     4.00000e+01
    41   8030.0000        1     2.11831e+02     3.99240e-06     4.00000e+01
    42   8395.0000        1     2.11312e+02     4.07359e-06     4.00000e+01
    43   8760.0000        1     2.10793e+02     4.15554e-06     4.00000e+01
    44   9125.0000        1     2.10273e+02     4.23822e-06     4.00000e+01
    45   9490.0000        1     2.09753e+02     4.32157e-06     4.00000e+01
    46   9855.0000        1     2.09234e+02     4.40556e-06     4.00000e+01
    47  10220.0000        1     2.08714e+02     4.49016e-06     4.00000e+01
    48  10585.0000        1     2.08194e+02     4.57534e-06     4.00000e+01
    49  10950.0000        1     2.07673e+02     4.66106e-06     4.00000e+01
