    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.36939e+02     3.42898e-09     4.00000e+01
     2      0.0030        1     2.36903e+02     1.02317e-08     4.00000e+01
     3      0.0070        1     2.36831e+02     2.36203e-08     4.00000e+01
     4      0.0150        1     2.36693e+02     4.95654e-08     4.00000e+01
     5      0.0310        1     2.36432e+02     9.83807e-08     4.00000e+01
     6      0.0630        1     2.35967e+02     1.85414e-07     4.00000e+01
     7      0.1270        1     2.35210e+02     3.27054e-07     4.00000e+01
     8      0.2550        1     2.34138e+02     5.27772e-07     4.00000e+01
     9      0.5110        1     2.32865e+02     7.66013e-07     4.00000e+01
    10      1.0230        1     2.31594e+02     1.00377e-06     4.00000e+01
    11      2.0470        1     2.30447e+02     1.21836e-06     4.00000e+01
    12      4.0950        1     2.29410e+02     1.41209e-06     4.00000e+01
    13      8.1910        1     2.28431e+02     1.59478e-06     4.00000e+01
    14     16.3830        1     2.27480e+02     1.77185e-06     4.00000e+01
    15     32.7670        1     2.26550e+02     1.94384e-06     4.00000e+01
    16     65.5350        1     2.25641e+02     2.10997e-06     4.00000e+01
    17    131.0710        1     2.24744e+02     2.26985e-06     4.00000e+01
    18    262.1430        1     2.23847e+02     2.42198e-06     4.00000e+01
    19    365.0000        1     2.23371e+02     2.49894e-06     4.00000e+01
    20    627.1440        1     2.22626e+02     2.60821e-06     4.00000e+01
    21    730.0000        1     2.22378e+02     2.64309e-06     4.00000e+01
    22   1095.0000        1     2.21697e+02     2.73116e-06     4.00000e+01
    23   1460.0000        1     2.21097e+02     2.80582e-06     4.00000e+01
    24   1825.0000        1     2.20532e+02     2.87557e-06     4.00000e+01
    25   2190.0000        1     2.19984e+02     2.94392e-06     4.00000e+01
    26   2555.0000        1     2.19442e+02     3.01240e-06     4.00000e+01
    27   2920.0000        1     2.18905e+02     3.08167e-06     4.00000e+01
    28   3285.0000        1     2.18368e+02     3.15201e-06     4.00000e+01
    29   3650.0000        1     2.17833e+02     3.22352e-06     4.00000e+01
    30   4015.0000        1     2.17298e+02     3.29622e-06     4.00000e+01
    31   4380.0000        1     2.16762e+02     3.37009e-06     4.00000e+01
    32   4745.0000        1     2.16227e+02     3.44509e-06     4.00000e+01
    33   5110.0000        1     2.15692e+02     3.52117e-06     4.00000e+01
    34   5475.0000        1     2.15156e+02     3.59830e-06     4.00000e+01
    35   5840.0000        1     2.14621e+02     3.67642e-06     4.00000e+01
    36   6205.0000        1     2.14085e+02     3.75548e-06     4.00000e+01
    37   6570.0000        1     2.13549e+02     3.83545e-06     4.00000e+01
    38   6935.0000        1     2.13013e+02     3.91628e-06     4.00000e+01
    39   7300.0000        1     2.12477e+02     3.99793e-06     4.00000e+01
    40   7665.0000        1     2.11940e+02     4.08036e-06     4.00000e+01
    41   8030.0000        1     2.11404e+02     4.16354e-06     4.00000e+01
    42   8395.0000        1     2.10867e+02     4.24743e-06     4.00000e+01
    43   8760.0000        1     2.10330e+02     4.33200e-06     4.00000e+01
    44   9125.0000        1     2.09793e+02     4.41721e-06     4.00000e+01
    45   9490.0000        1     2.09256e+02     4.50305e-06     4.00000e+01
    46   9855.0000        1     2.08718e+02     4.58948e-06     4.00000e+01
    47  10220.0000        1     2.08181e+02     4.67646e-06     4.00000e+01
    48  10585.0000        1     2.07643e+02     4.76399e-06     4.00000e+01
    49  10950.0000        1     2.07105e+02     4.85203e-06     4.00000e+01
