    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.39261e+02     3.46296e-09     4.00000e+01
     2      0.0030        1     2.39224e+02     1.03225e-08     4.00000e+01
     3      0.0070        1     2.39152e+02     2.37822e-08     4.00000e+01
     4      0.0150        1     2.39014e+02     4.97133e-08     4.00000e+01
     5      0.0310        1     2.38756e+02     9.79763e-08     4.00000e+01
     6      0.0630        1     2.38305e+02     1.82415e-07     4.00000e+01
     7      0.1270        1     2.37592e+02     3.15847e-07     4.00000e+01
     8      0.2550        1     2.36619e+02     4.97909e-07     4.00000e+01
     9      0.5110        1     2.35503e+02     7.06778e-07     4.00000e+01
    10      1.0230        1     2.34399e+02     9.13382e-07     4.00000e+01
    11      2.0470        1     2.33376e+02     1.10459e-06     4.00000e+01
    12      4.0950        1     2.32419e+02     1.28357e-06     4.00000e+01
    13      8.1910        1     2.31492e+02     1.45662e-06     4.00000e+01
    14     16.3830        1     2.30575e+02     1.62739e-06     4.00000e+01
    15     32.7670        1     2.29658e+02     1.79716e-06     4.00000e+01
    16     65.5350        1     2.28738e+02     1.96600e-06     4.00000e+01
    17    131.0710        1     2.27811e+02     2.13255e-06     4.00000e+01
    18    262.1430        1     2.26879e+02     2.29351e-06     4.00000e+01
    19    365.0000        1     2.26385e+02     2.37548e-06     4.00000e+01
    20    627.1440        1     2.25624e+02     2.49220e-06     4.00000e+01
    21    730.0000        1     2.25372e+02     2.52943e-06     4.00000e+01
    22   1095.0000        1     2.24694e+02     2.62254e-06     4.00000e+01
    23   1460.0000        1     2.24105e+02     2.70048e-06     4.00000e+01
    24   1825.0000        1     2.23556e+02     2.77250e-06     4.00000e+01
    25   2190.0000        1     2.23024e+02     2.84249e-06     4.00000e+01
    26   2555.0000        1     2.22501e+02     2.91216e-06     4.00000e+01
    27   2920.0000        1     2.21983e+02     2.98230e-06     4.00000e+01
    28   3285.0000        1     2.21466e+02     3.05323e-06     4.00000e+01
    29   3650.0000        1     2.20950e+02     3.12510e-06     4.00000e+01
    30   4015.0000        1     2.20435e+02     3.19795e-06     4.00000e+01
    31   4380.0000        1     2.19919e+02     3.27177e-06     4.00000e+01
    32   4745.0000        1     2.19404e+02     3.34655e-06     4.00000e+01
    33   5110.0000        1     2.18889e+02     3.42225e-06     4.00000e+01
    34   5475.0000        1     2.18373e+02     3.49883e-06     4.00000e+01
    35   5840.0000        1     2.17858e+02     3.57625e-06     4.00000e+01
    36   6205.0000        1     2.17342e+02     3.65448e-06     4.00000e+01
    37   6570.0000        1     2.16826e+02     3.73347e-06     4.00000e+01
    38   6935.0000        1     2.16310e+02     3.81320e-06     4.00000e+01
    39   7300.0000        1     2.15794e+02     3.89363e-06     4.00000e+01
    40   7665.0000        1     2.15278e+02     3.97472e-06     4.00000e+01
    41   8030.0000        1     2.14762e+02     4.05644e-06     4.00000e+01
    42   8395.0000        1     2.14245e+02     4.13877e-06     4.00000e+01
    43   8760.0000        1     2.13728e+02     4.22168e-06     4.00000e+01
    44   9125.0000        1     2.13212e+02     4.30514e-06     4.00000e+01
    45   9490.0000        1     2.12695e+02     4.38913e-06     4.00000e+01
    46   9855.0000        1     2.12177e+02     4.47361e-06     4.00000e+01
    47  10220.0000        1     2.11660e+02     4.55858e-06     4.00000e+01
    48  10585.0000        1     2.11143e+02     4.64400e-06     4.00000e+01
    49  10950.0000        1     2.10625e+02     4.72986e-06     4.00000e+01
