    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -7.17981e+02    -1.04226e-07     2.43327e+02     2.34120e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.71149e+02    -8.29114e-08     2.41869e+02     5.07065e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.79657e+02    -6.96298e-08     2.40471e+02     7.68529e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.63189e+02    -6.72392e-08     2.39289e+02     9.89698e-07     4.00000e+01
     5      0.0310        2     4.00000e+02    -5.29064e+02    -7.68020e-08     2.38286e+02     1.17734e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -6.39168e+02    -9.27854e-08     2.37370e+02     1.34839e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -7.42569e+02    -1.07796e-07     2.36489e+02     1.51256e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -8.16480e+02    -1.18525e-07     2.35621e+02     1.67365e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.55421e+02    -1.24178e-07     2.34740e+02     1.83597e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.56742e+02    -1.24370e-07     2.33786e+02     2.00938e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.18814e+02    -1.18864e-07     2.32684e+02     2.20537e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.51425e+02    -1.09081e-07     2.31501e+02     2.40669e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.65757e+02    -9.66452e-08     2.31305e+02     2.40557e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.56961e+02    -8.08518e-08     2.36587e+02     1.34842e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.76716e+02    -6.92028e-08     2.45249e+02     0.00000e+00     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.72648e+02    -5.40958e-08     2.65803e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -2.98447e+02    -4.33244e-08     2.85031e+02     0.00000e+00     4.00000e+01
    18     90.1110       10     4.00000e+02    -2.07128e+02    -3.00680e-08     3.12882e+02     0.00000e+00     4.00000e+01
    19    155.6470       10     4.00000e+02    -1.19108e+02    -1.72904e-08     3.40738e+02     0.00000e+00     4.00000e+01
    20    221.1830        5     4.00000e+02    -7.66896e+01    -1.11327e-08     3.54053e+02     0.00000e+00     4.00000e+01
    21    352.2550       10     4.00000e+02    -5.08471e+01    -7.38126e-09     3.62302e+02     0.00000e+00     4.00000e+01
    22    365.0000        1     4.00000e+02    -4.87409e+01    -7.07552e-09     3.62962e+02     0.00000e+00     4.00000e+01
    23    496.0720        7     4.00000e+02    -4.25179e+01    -6.17215e-09     3.65194e+02     0.00000e+00     4.00000e+01
    24    613.0360        6     4.00000e+02    -4.07751e+01    -5.91915e-09     3.66045e+02     0.00000e+00     4.00000e+01
    25    730.0000        7     4.00000e+02    -4.02361e+01    -5.84090e-09     3.66543e+02     0.00000e+00     4.00000e+01
    26    846.9640        7     4.00000e+02    -4.00675e+01    -5.81644e-09     3.66934e+02     0.00000e+00     4.00000e+01
    27    963.9280        8     4.00000e+02    -4.00127e+01    -5.80848e-09     3.67292e+02     0.00000e+00     4.00000e+01
    28   1029.4640        4     4.00000e+02    -4.00122e+01    -5.80841e-09     3.67507e+02     0.00000e+00     4.00000e+01
    29   1095.0000        7     4.00000e+02    -4.00087e+01    -5.80790e-09     3.67701e+02     1.40205e-04     4.00000e+01
    30   1160.5360        7     4.00000e+02    -4.00959e+01    -5.82056e-09     3.67425e+02     1.78140e-01     4.00000e+01
    31   1226.0720        5     4.00000e+02    -4.05269e+01    -5.88313e-09     3.66814e+02     8.96422e-01     4.00000e+01
    32   1291.6080        6     4.00000e+02    -4.13648e+01    -6.00475e-09     3.66048e+02     2.03508e+00     4.00000e+01
    33   1422.6800        7     4.00000e+02    -4.41478e+01    -6.40875e-09     3.64173e+02     5.21019e+00     4.00000e+01
    34   1460.0000        2     4.00000e+02    -4.51779e+01    -6.55830e-09     3.63540e+02     6.48193e+00     4.00000e+01
    35   1591.0720        6     4.00000e+02    -4.94843e+01    -7.18344e-09     3.61337e+02     1.09958e+01     4.00000e+01
    36   1708.0360        5     4.00000e+02    -5.36856e+01    -7.79332e-09     3.59448e+02     1.52603e+01     4.00000e+01
    37   1825.0000        5     4.00000e+02    -5.80459e+01    -8.42628e-09     3.57661e+02     1.96225e+01     4.00000e+01
    38   1941.9640        4     4.00000e+02    -6.25707e+01    -9.08313e-09     3.55932e+02     2.41552e+01     4.00000e+01
    39   2058.9280        5     4.00000e+02    -6.73629e+01    -9.77879e-09     3.54182e+02     2.89910e+01     4.00000e+01
    40   2190.0000        5     4.00000e+02    -7.32105e+01    -1.06277e-08     3.52101e+02     3.49322e+01     4.00000e+01
    41   2321.0720        5     4.00000e+02    -7.96763e+01    -1.15663e-08     3.49870e+02     4.15155e+01     4.00000e+01
    42   2438.0360        5     4.00000e+02    -8.60017e+01    -1.24845e-08     3.47755e+02     4.79494e+01     4.00000e+01
    43   2555.0000        5     4.00000e+02    -9.28320e+01    -1.34760e-08     3.45547e+02     5.48732e+01     4.00000e+01
    44   2671.9640        5     4.00000e+02    -1.00079e+02    -1.45281e-08     3.43298e+02     6.21833e+01     4.00000e+01
    45   2788.9280        5     4.00000e+02    -1.07701e+02    -1.56345e-08     3.41023e+02     6.98535e+01     4.00000e+01
    46   2920.0000        6     4.00000e+02    -1.16666e+02    -1.69360e-08     3.38443e+02     7.88671e+01     4.00000e+01
    47   3051.0720        5     4.00000e+02    -1.26137e+02    -1.83108e-08     3.35810e+02     8.83958e+01     4.00000e+01
    48   3285.0000        9     4.00000e+02    -1.44379e+02    -2.09590e-08     3.30941e+02     1.06752e+02     4.00000e+01
    49   3467.5000        5     4.00000e+02    -1.60346e+02    -2.32768e-08     3.26839e+02     1.22875e+02     4.00000e+01
    50   3650.0000        5     4.00000e+02    -1.78158e+02    -2.58625e-08     3.22391e+02     1.40868e+02     4.00000e+01
    51   3832.5000        6     4.00000e+02    -1.98019e+02    -2.87456e-08     3.17569e+02     1.60923e+02     4.00000e+01
    52   4015.0000        6     4.00000e+02    -2.19995e+02    -3.19358e-08     3.12393e+02     1.83086e+02     4.00000e+01
    53   4197.5000        6     4.00000e+02    -2.44149e+02    -3.54421e-08     3.06873e+02     2.07422e+02     4.00000e+01
    54   4380.0000        6     4.00000e+02    -2.70581e+02    -3.92791e-08     3.01005e+02     2.34035e+02     4.00000e+01
    55   4562.5000        6     4.00000e+02    -2.99377e+02    -4.34594e-08     2.94789e+02     2.63011e+02     4.00000e+01
    56   4745.0000        7     4.00000e+02    -3.30614e+02    -4.79938e-08     2.88227e+02     2.94425e+02     4.00000e+01
    57   4927.5000        7     4.00000e+02    -3.64438e+02    -5.29039e-08     2.81297e+02     3.28430e+02     4.00000e+01
    58   5110.0000        7     4.00000e+02    -4.01089e+02    -5.82245e-08     2.73958e+02     3.65276e+02     4.00000e+01
    59   5292.5000        6     4.00000e+02    -4.40880e+02    -6.40008e-08     2.66151e+02     4.05279e+02     4.00000e+01
    60   5475.0000        7     4.00000e+02    -4.84125e+02    -7.02784e-08     2.57825e+02     4.48751e+02     4.00000e+01
    61   5657.5000        7     4.00000e+02    -5.31259e+02    -7.71207e-08     2.48903e+02     4.96137e+02     4.00000e+01
    62   5840.0000        7     4.00000e+02    -5.82912e+02    -8.46190e-08     2.39271e+02     5.48078e+02     4.00000e+01
    63   6022.5000        8     4.00000e+02    -6.39723e+02    -9.28660e-08     2.28822e+02     6.05209e+02     4.00000e+01
    64   6205.0000        6     4.00000e+02    -7.02206e+02    -1.01936e-07     2.17489e+02     6.68034e+02     4.00000e+01
    65   6570.0000        8     4.00000e+02    -8.13760e+02    -1.18130e-07     2.00000e+02     7.80732e+02     3.83309e+01
    66   6935.0000        4     4.00000e+02    -8.57827e+02    -1.24527e-07     2.00000e+02     8.27399e+02     3.32067e+01
    67   7300.0000        3     4.00000e+02    -8.96369e+02    -1.30122e-07     2.00000e+02     8.69813e+02     2.89913e+01
    68   7665.0000        3     4.00000e+02    -9.31281e+02    -1.35190e-07     2.00000e+02     9.08026e+02     2.54400e+01
    69   8030.0000        3     4.00000e+02    -9.62975e+02    -1.39791e-07     2.00000e+02     9.42516e+02     2.24382e+01
    70   8395.0000        3     4.00000e+02    -9.91743e+02    -1.43967e-07     2.00000e+02     9.73649e+02     1.99005e+01
    71   8760.0000        2     4.00000e+02    -1.01787e+03    -1.47760e-07     2.00000e+02     1.00178e+03     1.77502e+01
    72   9125.0000        2     4.00000e+02    -1.04163e+03    -1.51209e-07     2.00000e+02     1.02725e+03     1.59195e+01
    73   9490.0000        2     4.00000e+02    -1.06330e+03    -1.54354e-07     2.00000e+02     1.05038e+03     1.43510e+01
    74   9855.0000        2     4.00000e+02    -1.08311e+03    -1.57231e-07     2.00000e+02     1.07147e+03     1.29981e+01
    75  10220.0000        2     4.00000e+02    -1.10129e+03    -1.59870e-07     2.00000e+02     1.09075e+03     1.18235e+01
    76  10585.0000        2     4.00000e+02    -1.11801e+03    -1.62297e-07     2.00000e+02     1.10843e+03     1.07974e+01
    77  10950.0000        2     4.00000e+02    -1.13344e+03    -1.64537e-07     2.00000e+02     1.12471e+03     9.89594e+00
