    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.38733e+02     4.36426e-09     4.00000e+01
     2      0.0030        1     2.38687e+02     1.29967e-08     4.00000e+01
     3      0.0070        1     2.38596e+02     2.98872e-08     4.00000e+01
     4      0.0150        1     2.38424e+02     6.22482e-08     4.00000e+01
     5      0.0310        1     2.38105e+02     1.21844e-07     4.00000e+01
     6      0.0630        1     2.37559e+02     2.24111e-07     4.00000e+01
     7      0.1270        1     2.36723e+02     3.80512e-07     4.00000e+01
     8      0.2550        1     2.35636e+02     5.83879e-07     4.00000e+01
     9      0.5110        1     2.34457e+02     8.04569e-07     4.00000e+01
    10      1.0230        1     2.33337e+02     1.01414e-06     4.00000e+01
    11      2.0470        1     2.32310e+02     1.20622e-06     4.00000e+01
    12      4.0950        1     2.31343e+02     1.38692e-06     4.00000e+01
    13      8.1910        1     2.30411e+02     1.56073e-06     4.00000e+01
    14     16.3830        1     2.29506e+02     1.72893e-06     4.00000e+01
    15     32.7670        1     2.28620e+02     1.89230e-06     4.00000e+01
    16     65.5350        1     2.27743e+02     2.05167e-06     4.00000e+01
    17    131.0710        1     2.26867e+02     2.20615e-06     4.00000e+01
    18    262.1430        1     2.25988e+02     2.35219e-06     4.00000e+01
    19    365.0000        1     2.25522e+02     2.42521e-06     4.00000e+01
    20    627.1440        1     2.24795e+02     2.52647e-06     4.00000e+01
    21    730.0000        1     2.24553e+02     2.55843e-06     4.00000e+01
    22   1095.0000        1     2.23888e+02     2.63791e-06     4.00000e+01
    23   1460.0000        1     2.23303e+02     2.70514e-06     4.00000e+01
    24   1825.0000        1     2.22753e+02     2.76835e-06     4.00000e+01
    25   2190.0000        1     2.22218e+02     2.83088e-06     4.00000e+01
    26   2555.0000        1     2.21690e+02     2.89416e-06     4.00000e+01
    27   2920.0000        1     2.21166e+02     2.95878e-06     4.00000e+01
    28   3285.0000        1     2.20643e+02     3.02495e-06     4.00000e+01
    29   3650.0000        1     2.20121e+02     3.09272e-06     4.00000e+01
    30   4015.0000        1     2.19600e+02     3.16206e-06     4.00000e+01
    31   4380.0000        1     2.19078e+02     3.23292e-06     4.00000e+01
    32   4745.0000        1     2.18557e+02     3.30521e-06     4.00000e+01
    33   5110.0000        1     2.18035e+02     3.37887e-06     4.00000e+01
    34   5475.0000        1     2.17513e+02     3.45381e-06     4.00000e+01
    35   5840.0000        1     2.16992e+02     3.52996e-06     4.00000e+01
    36   6205.0000        1     2.16470e+02     3.60724e-06     4.00000e+01
    37   6570.0000        1     2.15948e+02     3.68559e-06     4.00000e+01
    38   6935.0000        1     2.15425e+02     3.76495e-06     4.00000e+01
    39   7300.0000        1     2.14903e+02     3.84525e-06     4.00000e+01
    40   7665.0000        1     2.14381e+02     3.92644e-06     4.00000e+01
    41   8030.0000        1     2.13858e+02     4.00847e-06     4.00000e+01
    42   8395.0000        1     2.13335e+02     4.09129e-06     4.00000e+01
    43   8760.0000        1     2.12812e+02     4.17485e-06     4.00000e+01
    44   9125.0000        1     2.12289e+02     4.25911e-06     4.00000e+01
    45   9490.0000        1     2.11766e+02     4.34402e-06     4.00000e+01
    46   9855.0000        1     2.11242e+02     4.42956e-06     4.00000e+01
    47  10220.0000        1     2.10719e+02     4.51568e-06     4.00000e+01
    48  10585.0000        1     2.10195e+02     4.60235e-06     4.00000e+01
    49  10950.0000        1     2.09671e+02     4.68953e-06     4.00000e+01
