    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -9.27943e+02    -1.34706e-07     2.45575e+02     2.06789e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -7.00337e+02    -1.01665e-07     2.44257e+02     4.53326e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -6.32927e+02    -9.18794e-08     2.42930e+02     7.01601e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -6.98337e+02    -1.01375e-07     2.41728e+02     9.26517e-07     4.00000e+01
     5      0.0310        3     4.00000e+02    -8.15330e+02    -1.18358e-07     2.40664e+02     1.12550e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -9.06886e+02    -1.31649e-07     2.39701e+02     1.30561e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -9.62689e+02    -1.39750e-07     2.38796e+02     1.47449e-06     4.00000e+01
     8      0.2550        3     4.00000e+02    -9.81948e+02    -1.42545e-07     2.37911e+02     1.63899e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -9.66090e+02    -1.40243e-07     2.37012e+02     1.80519e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -9.23780e+02    -1.34101e-07     2.36050e+02     1.98117e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.55677e+02    -1.24215e-07     2.34959e+02     2.17742e-06     4.00000e+01
    12      4.0950        7     4.00000e+02    -7.70126e+02    -1.11796e-07     2.33816e+02     2.37566e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.73802e+02    -9.78131e-08     2.33755e+02     2.35705e-06     4.00000e+01
    14     12.2870        5     4.00000e+02    -6.06483e+02    -8.80406e-08     2.35459e+02     2.00956e-06     4.00000e+01
    15     20.4790        9     4.00000e+02    -5.13822e+02    -7.45895e-08     2.43294e+02     4.93477e-07     4.00000e+01
    16     28.6710        6     4.00000e+02    -4.44431e+02    -6.45162e-08     2.53399e+02     0.00000e+00     4.00000e+01
    17     45.0550       10     4.00000e+02    -3.51783e+02    -5.10670e-08     2.74526e+02     0.00000e+00     4.00000e+01
    18     61.4390        5     4.00000e+02    -2.83760e+02    -4.11923e-08     2.93367e+02     0.00000e+00     4.00000e+01
    19     94.2070        9     4.00000e+02    -1.97726e+02    -2.87031e-08     3.19844e+02     0.00000e+00     4.00000e+01
    20    159.7430        9     4.00000e+02    -1.14179e+02    -1.65749e-08     3.45824e+02     0.00000e+00     4.00000e+01
    21    290.8150       10     4.00000e+02    -6.20890e+01    -9.01321e-09     3.61860e+02     0.00000e+00     4.00000e+01
    22    365.0000        3     4.00000e+02    -4.92457e+01    -7.14880e-09     3.65843e+02     0.00000e+00     4.00000e+01
    23    496.0720        8     4.00000e+02    -4.26541e+01    -6.19192e-09     3.68132e+02     0.00000e+00     4.00000e+01
    24    613.0360        6     4.00000e+02    -4.08234e+01    -5.92617e-09     3.68993e+02     0.00000e+00     4.00000e+01
    25    730.0000        6     4.00000e+02    -4.02609e+01    -5.84451e-09     3.69488e+02     0.00000e+00     4.00000e+01
    26    846.9640        7     4.00000e+02    -4.00856e+01    -5.81906e-09     3.69872e+02     0.00000e+00     4.00000e+01
    27    963.9280        7     4.00000e+02    -4.00276e+01    -5.81065e-09     3.70223e+02     0.00000e+00     4.00000e+01
    28   1029.4640        4     4.00000e+02    -4.00257e+01    -5.81037e-09     3.70433e+02     0.00000e+00     4.00000e+01
    29   1095.0000        5     4.00000e+02    -4.00215e+01    -5.80976e-09     3.70642e+02     0.00000e+00     4.00000e+01
    30   1160.5360        7     4.00000e+02    -4.00145e+01    -5.80875e-09     3.70836e+02     0.00000e+00     4.00000e+01
    31   1226.0720        7     4.00000e+02    -4.00867e+01    -5.81922e-09     3.70642e+02     1.48864e-01     4.00000e+01
    32   1357.1440        7     4.00000e+02    -4.22694e+01    -6.13608e-09     3.68626e+02     3.11800e+00     4.00000e+01
    33   1460.0000        5     4.00000e+02    -4.54470e+01    -6.59735e-09     3.66778e+02     6.88432e+00     4.00000e+01
    34   1591.0720        5     4.00000e+02    -4.99420e+01    -7.24988e-09     3.64784e+02     1.14480e+01     4.00000e+01
    35   1708.0360        5     4.00000e+02    -5.41860e+01    -7.86597e-09     3.63116e+02     1.57063e+01     4.00000e+01
    36   1825.0000        5     4.00000e+02    -5.87481e+01    -8.52823e-09     3.61435e+02     2.03271e+01     4.00000e+01
    37   1941.9640        5     4.00000e+02    -6.36721e+01    -9.24302e-09     3.59717e+02     2.53198e+01     4.00000e+01
    38   2058.9280        5     4.00000e+02    -6.89344e+01    -1.00069e-08     3.57975e+02     3.06375e+01     4.00000e+01
    39   2190.0000        5     4.00000e+02    -7.51436e+01    -1.09083e-08     3.56031e+02     3.68806e+01     4.00000e+01
    40   2321.0720        5     4.00000e+02    -8.16492e+01    -1.18527e-08     3.54096e+02     4.34076e+01     4.00000e+01
    41   2555.0000       10     4.00000e+02    -9.39058e+01    -1.36319e-08     3.50631e+02     5.57079e+01     4.00000e+01
    42   2737.5000        6     4.00000e+02    -1.04611e+02    -1.51860e-08     3.47754e+02     6.65173e+01     4.00000e+01
    43   2920.0000        6     4.00000e+02    -1.16540e+02    -1.69176e-08     3.44661e+02     7.85745e+01     4.00000e+01
    44   3102.5000        6     4.00000e+02    -1.29955e+02    -1.88650e-08     3.41288e+02     9.21461e+01     4.00000e+01
    45   3285.0000        6     4.00000e+02    -1.44970e+02    -2.10447e-08     3.37640e+02     1.07321e+02     4.00000e+01
    46   3467.5000        6     4.00000e+02    -1.61560e+02    -2.34531e-08     3.33762e+02     1.24052e+02     4.00000e+01
    47   3650.0000        7     4.00000e+02    -1.79770e+02    -2.60965e-08     3.29658e+02     1.42399e+02     4.00000e+01
    48   3832.5000        6     4.00000e+02    -1.99800e+02    -2.90042e-08     3.25287e+02     1.62581e+02     4.00000e+01
    49   4015.0000        6     4.00000e+02    -2.21783e+02    -3.21954e-08     3.20637e+02     1.84721e+02     4.00000e+01
    50   4197.5000        7     4.00000e+02    -2.45768e+02    -3.56771e-08     3.15722e+02     2.08857e+02     4.00000e+01
    51   4380.0000        6     4.00000e+02    -2.71836e+02    -3.94613e-08     3.10538e+02     2.35076e+02     4.00000e+01
    52   4562.5000        6     4.00000e+02    -3.00018e+02    -4.35524e-08     3.05098e+02     2.63403e+02     4.00000e+01
    53   4745.0000        5     4.00000e+02    -3.30433e+02    -4.79676e-08     2.99385e+02     2.93966e+02     4.00000e+01
    54   4927.5000        6     4.00000e+02    -3.63338e+02    -5.27443e-08     2.93350e+02     3.27036e+02     4.00000e+01
    55   5110.0000        6     4.00000e+02    -3.99079e+02    -5.79327e-08     2.86928e+02     3.62963e+02     4.00000e+01
    56   5292.5000        6     4.00000e+02    -4.37989e+02    -6.35810e-08     2.80068e+02     4.02077e+02     4.00000e+01
    57   5475.0000        6     4.00000e+02    -4.80436e+02    -6.97429e-08     2.72713e+02     4.44747e+02     4.00000e+01
