    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.34010e+02     3.32072e-09     4.00000e+01
     2      0.0030        1     2.33975e+02     9.91576e-09     4.00000e+01
     3      0.0070        1     2.33905e+02     2.29235e-08     4.00000e+01
     4      0.0150        1     2.33770e+02     4.82356e-08     4.00000e+01
     5      0.0310        1     2.33513e+02     9.62377e-08     4.00000e+01
     6      0.0630        1     2.33049e+02     1.83055e-07     4.00000e+01
     7      0.1270        1     2.32276e+02     3.27761e-07     4.00000e+01
     8      0.2550        1     2.31142e+02     5.40129e-07     4.00000e+01
     9      0.5110        1     2.29738e+02     8.02747e-07     4.00000e+01
    10      1.0230        1     2.28295e+02     1.07275e-06     4.00000e+01
    11      2.0470        1     2.27001e+02     1.31480e-06     4.00000e+01
    12      4.0950        1     2.25889e+02     1.52279e-06     4.00000e+01
    13      8.1910        1     2.24903e+02     1.70670e-06     4.00000e+01
    14     16.3830        1     2.23987e+02     1.87705e-06     4.00000e+01
    15     32.7670        1     2.23100e+02     2.04081e-06     4.00000e+01
    16     65.5350        1     2.22224e+02     2.20046e-06     4.00000e+01
    17    131.0710        1     2.21354e+02     2.35464e-06     4.00000e+01
    18    262.1430        1     2.20487e+02     2.49993e-06     4.00000e+01
    19    365.0000        1     2.20028e+02     2.57265e-06     4.00000e+01
    20    627.1440        1     2.19309e+02     2.67453e-06     4.00000e+01
    21    730.0000        1     2.19069e+02     2.70689e-06     4.00000e+01
    22   1095.0000        1     2.18404e+02     2.78855e-06     4.00000e+01
    23   1460.0000        1     2.17814e+02     2.85812e-06     4.00000e+01
    24   1825.0000        1     2.17255e+02     2.92351e-06     4.00000e+01
    25   2190.0000        1     2.16710e+02     2.98796e-06     4.00000e+01
    26   2555.0000        1     2.16172e+02     3.05281e-06     4.00000e+01
    27   2920.0000        1     2.15637e+02     3.11865e-06     4.00000e+01
    28   3285.0000        1     2.15103e+02     3.18571e-06     4.00000e+01
    29   3650.0000        1     2.14569e+02     3.25405e-06     4.00000e+01
    30   4015.0000        1     2.14036e+02     3.32367e-06     4.00000e+01
    31   4380.0000        1     2.13503e+02     3.39456e-06     4.00000e+01
    32   4745.0000        1     2.12970e+02     3.46667e-06     4.00000e+01
    33   5110.0000        1     2.12436e+02     3.53993e-06     4.00000e+01
    34   5475.0000        1     2.11903e+02     3.61431e-06     4.00000e+01
    35   5840.0000        1     2.11369e+02     3.68976e-06     4.00000e+01
    36   6205.0000        1     2.10835e+02     3.76622e-06     4.00000e+01
    37   6570.0000        1     2.10301e+02     3.84366e-06     4.00000e+01
    38   6935.0000        1     2.09767e+02     3.92202e-06     4.00000e+01
    39   7300.0000        1     2.09232e+02     4.00126e-06     4.00000e+01
    40   7665.0000        1     2.08698e+02     4.08135e-06     4.00000e+01
    41   8030.0000        1     2.08163e+02     4.16225e-06     4.00000e+01
    42   8395.0000        1     2.07628e+02     4.24391e-06     4.00000e+01
    43   8760.0000        1     2.07093e+02     4.32632e-06     4.00000e+01
    44   9125.0000        1     2.06558e+02     4.40942e-06     4.00000e+01
    45   9490.0000        1     2.06023e+02     4.49320e-06     4.00000e+01
    46   9855.0000        1     2.05487e+02     4.57762e-06     4.00000e+01
    47  10220.0000        1     2.04951e+02     4.66265e-06     4.00000e+01
    48  10585.0000        1     2.04416e+02     4.74827e-06     4.00000e+01
    49  10950.0000        1     2.03880e+02     4.83445e-06     4.00000e+01
