    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.36583e+02     5.18384e-09     4.00000e+01
     2      0.0030        1     2.36529e+02     1.54290e-08     4.00000e+01
     3      0.0070        1     2.36422e+02     3.54431e-08     4.00000e+01
     4      0.0150        1     2.36218e+02     7.36714e-08     4.00000e+01
     5      0.0310        1     2.35843e+02     1.43676e-07     4.00000e+01
     6      0.0630        1     2.35208e+02     2.62639e-07     4.00000e+01
     7      0.1270        1     2.34251e+02     4.41810e-07     4.00000e+01
     8      0.2550        1     2.33032e+02     6.69805e-07     4.00000e+01
     9      0.5110        1     2.31749e+02     9.10031e-07     4.00000e+01
    10      1.0230        1     2.30580e+02     1.12873e-06     4.00000e+01
    11      2.0470        1     2.29562e+02     1.31891e-06     4.00000e+01
    12      4.0950        1     2.28642e+02     1.49077e-06     4.00000e+01
    13      8.1910        1     2.27761e+02     1.65490e-06     4.00000e+01
    14     16.3830        1     2.26885e+02     1.81721e-06     4.00000e+01
    15     32.7670        1     2.26004e+02     1.97896e-06     4.00000e+01
    16     65.5350        1     2.25119e+02     2.13825e-06     4.00000e+01
    17    131.0710        1     2.24234e+02     2.29160e-06     4.00000e+01
    18    262.1430        1     2.23347e+02     2.43353e-06     4.00000e+01
    19    365.0000        1     2.22878e+02     2.50295e-06     4.00000e+01
    20    627.1440        1     2.22145e+02     2.59528e-06     4.00000e+01
    21    730.0000        1     2.21901e+02     2.62384e-06     4.00000e+01
    22   1095.0000        1     2.21228e+02     2.69284e-06     4.00000e+01
    23   1460.0000        1     2.20634e+02     2.75106e-06     4.00000e+01
    24   1825.0000        1     2.20073e+02     2.80652e-06     4.00000e+01
    25   2190.0000        1     2.19527e+02     2.86243e-06     4.00000e+01
    26   2555.0000        1     2.18989e+02     2.92008e-06     4.00000e+01
    27   2920.0000        1     2.18454e+02     2.97996e-06     4.00000e+01
    28   3285.0000        1     2.17920e+02     3.04219e-06     4.00000e+01
    29   3650.0000        1     2.17387e+02     3.10672e-06     4.00000e+01
    30   4015.0000        1     2.16855e+02     3.17347e-06     4.00000e+01
    31   4380.0000        1     2.16322e+02     3.24231e-06     4.00000e+01
    32   4745.0000        1     2.15789e+02     3.31310e-06     4.00000e+01
    33   5110.0000        1     2.15256e+02     3.38572e-06     4.00000e+01
    34   5475.0000        1     2.14723e+02     3.46002e-06     4.00000e+01
    35   5840.0000        1     2.14190e+02     3.53590e-06     4.00000e+01
    36   6205.0000        1     2.13657e+02     3.61325e-06     4.00000e+01
    37   6570.0000        1     2.13123e+02     3.69195e-06     4.00000e+01
    38   6935.0000        1     2.12590e+02     3.77192e-06     4.00000e+01
    39   7300.0000        1     2.12056e+02     3.85307e-06     4.00000e+01
    40   7665.0000        1     2.11522e+02     3.93532e-06     4.00000e+01
    41   8030.0000        1     2.10988e+02     4.01858e-06     4.00000e+01
    42   8395.0000        1     2.10453e+02     4.10279e-06     4.00000e+01
    43   8760.0000        1     2.09919e+02     4.18789e-06     4.00000e+01
    44   9125.0000        1     2.09384e+02     4.27381e-06     4.00000e+01
    45   9490.0000        1     2.08850e+02     4.36049e-06     4.00000e+01
    46   9855.0000        1     2.08315e+02     4.44789e-06     4.00000e+01
    47  10220.0000        1     2.07779e+02     4.53596e-06     4.00000e+01
    48  10585.0000        1     2.07244e+02     4.62466e-06     4.00000e+01
    49  10950.0000        1     2.06709e+02     4.71393e-06     4.00000e+01
